a	b	r
E3P14b	E3P7b	0.678826948655832
E3P14b	E3P8b	0.940374047287981
E3P14b	E3P9b	0.662008710296546
E3P15c	E3P16c	0.605524792574379
E3P15c	E3P17c	0.395694596274097
E3P15c	E3P18c	0.882532881119026
E3P15c	E3P19c	0.949664978978954
E3P15c	E3P1a	0.236233295691178
E3P15c	E3P20c	0.942353669050932
E3P15c	E3P3a	0.314755187792764
E3P15c	E3P4a	0.104770070255246
E3P15c	E3P5a	0.271669772989343
E3P15c	E3P6a	0.172774311416854
E3P15c	E3P7b	0.414222407959616
E3P15c	E3P8b	0.362930644394486
E3P15c	E3P9b	0.290558665205979
E3P16c	E3P17c	0.919074905979144
E3P16c	E3P18c	0.555189126273243
E3P16c	E3P19c	0.573266005495646
E3P16c	E3P1a	0.295108174287154
E3P16c	E3P20c	0.593420879545287
E3P16c	E3P3a	0.318281234123737
E3P16c	E3P4a	0.192039205464297
E3P16c	E3P5a	0.435734088534817
E3P16c	E3P6a	0.248873235756042
E3P16c	E3P7b	0.314407165970476
E3P16c	E3P8b	0.359262210850233
E3P16c	E3P9b	0.653483155302205
E3P17c	E3P18c	0.46782419948959
E3P17c	E3P19c	0.434204720186069
E3P17c	E3P1a	0.102778594778287
E3P17c	E3P20c	0.417865781159143
E3P17c	E3P3a	0.165755947131741
E3P17c	E3P4a	0.0316604170694934
E3P17c	E3P5a	0.279833087800153
E3P17c	E3P6a	0.0762025318513832
E3P17c	E3P7b	0.451990978181833
E3P17c	E3P8b	0.425127485789793
E3P17c	E3P9b	0.751252102320818
E3P18c	E3P19c	0.952500060224544
E3P18c	E3P1a	0.217015708290015
E3P18c	E3P20c	0.903373579287363
E3P18c	E3P3a	0.331475374521396
E3P18c	E3P4a	0.129221124336757
E3P18c	E3P5a	0.283078200025841
E3P18c	E3P6a	0.188817854696831
E3P18c	E3P7b	0.608691668865924
E3P18c	E3P8b	0.379899173911604
E3P18c	E3P9b	0.381753676746695
E3P19c	E3P1a	0.202820202499829
E3P19c	E3P20c	0.905599171581123
E3P19c	E3P3a	0.377238036334032
E3P19c	E3P4a	0.103355857492616
E3P19c	E3P5a	0.286940510562414
E3P19c	E3P6a	0.185130179343195
E3P19c	E3P7b	0.606881663579267
E3P19c	E3P8b	0.515110357324445
E3P19c	E3P9b	0.418182923722358
E3P1a	E3P20c	0.169152765410971
E3P1a	E3P3a	0.900041669321194
E3P1a	E3P4a	0.965151729183471
E3P1a	E3P5a	0.954409273172597
E3P1a	E3P6a	0.962665150569609
E3P1a	E3P7b	-0.0400278900491123
E3P1a	E3P8b	0.00363134083735056
E3P1a	E3P9b	-0.0272572546274851
E3P20c	E3P3a	0.199061041476373
E3P20c	E3P4a	0.0588661973431774
E3P20c	E3P5a	0.214901461204369
E3P20c	E3P6a	0.100091912366813
E3P20c	E3P7b	0.390078882894006
E3P20c	E3P8b	0.267530111978662
E3P20c	E3P9b	0.323529928871592
E3P3a	E3P4a	0.89496075209833
E3P3a	E3P5a	0.933878182407019
E3P3a	E3P6a	0.939088690032024
E3P3a	E3P7b	0.281234140659494
E3P3a	E3P8b	0.344816306729111
E3P3a	E3P9b	0.194333252952004
E3P4a	E3P5a	0.937318576522587
E3P4a	E3P6a	0.982863076942148
E3P4a	E3P7b	-0.0704056033300396
E3P4a	E3P8b	-0.0491337108221132
E3P4a	E3P9b	-0.0905464436104446
E3P5a	E3P6a	0.956465790618592
E3P5a	E3P7b	0.0742643310468418
E3P5a	E3P8b	0.201885681274996
E3P5a	E3P9b	0.185153467589787
E3P6a	E3P7b	-0.00263777895762506
E3P6a	E3P8b	0.0381218924013883
E3P6a	E3P9b	-0.0300912224791437
E3P7b	E3P8b	0.744616638578189
E3P7b	E3P9b	0.688717391649753
E3P8b	E3P9b	0.803453928179984
E10B10	E10B11	0.991168924395882
E10B10	E10B12	0.99688369167224
E10B10	E10B13	0.975542472601196
E10B10	E10B14	0.990435124530909
E10B10	E10B2	0.991863045045689
E10B10	E10B3	0.992543327224168
E10B10	E10B4	0.991926741597826
E10B10	E10B5	0.994812028014455
E10B10	E10B6	0.995431837264901
E10B10	E10B7	0.985102316913151
E10B10	E10B8	0.995631347704143
E10B10	E10B9	0.993103288506643
E10B10	E10H1a	0.983969125669123
E10B10	E10H1b	0.985941573921874
E10B10	E10H1c	0.992519158485261
E10B10	E10L1	0.985405181421287
E10B10	E10L10	0.881964438561664
E10B10	E10L2	0.974532365195581
E10B10	E10L3	0.991933593754151
E10B10	E10L5	0.965986369062048
E10B10	E10L6	0.978201893281936
E10B10	E10L8	0.874099252907298
E10B10	E10N1	NA
E10B10	E10OL1	0.957102471390426
E10B10	E10P10b	0.99107319124375
E10B10	E10P11b	0.989914530144668
E10B10	E10P13b	0.989885742513661
E10B10	E10P14b	0.981884647487955
E10B10	E10P1a	0.993195105508259
E10B10	E10P3a	0.954098316818788
E10B10	E10P4a	0.873978139882393
E10B10	E10P5a	0.980149820213488
E10B10	E10P6a	0.979404666317636
E10B10	E10P7a	0.970170652005831
E10B10	E10P8b	0.989011401830423
E10B10	E10P9b	0.982097622285849
E10B10	E10X1	0.989040982832139
E10B10	E10X2	0.99130241494515
E10B10	E10X4	0.990799366381893
E10B10	E10X5	0.996047820749279
E10B10	E10X7	0.989985830654004
E10B10	E10X8	0.901610321367603
E10B10	E10X9	0.977918973287479
E10B11	E10B12	0.994264033494876
E10B11	E10B13	0.959382535465373
E10B11	E10B14	0.990260661376086
E10B11	E10B2	0.990486637205608
E10B11	E10B3	0.993997291696445
E10B11	E10B4	0.997592340246636
E10B11	E10B5	0.998079015024774
E10B11	E10B6	0.99770927810851
E10B11	E10B7	0.987670769205823
E10B11	E10B8	0.995030148266017
E10B11	E10B9	0.999079857546247
E10B11	E10H1a	0.986451772316904
E10B11	E10H1b	0.984068863784104
E10B11	E10H1c	0.985344229316813
E10B11	E10L1	0.990501279373151
E10B11	E10L10	0.885151754005818
E10B11	E10L2	0.955223902500254
E10B11	E10L3	0.996690803729084
E10B11	E10L5	0.962881717824993
E10B11	E10L6	0.971964496517662
E10B11	E10L8	0.859821737610217
E10B11	E10N1	NA
E10B11	E10OL1	0.957811485564145
E10B11	E10P10b	0.991773786503519
E10B11	E10P11b	0.990046206030796
E10B11	E10P13b	0.987910479251894
E10B11	E10P14b	0.969857683821586
E10B11	E10P1a	0.993025889146835
E10B11	E10P3a	0.965788945884453
E10B11	E10P4a	0.841134818188717
E10B11	E10P5a	0.97537144744485
E10B11	E10P6a	0.973004051071376
E10B11	E10P7a	0.971099250021617
E10B11	E10P8b	0.993392277757022
E10B11	E10P9b	0.98517350138359
E10B11	E10X1	0.992775877542745
E10B11	E10X2	0.991545929259636
E10B11	E10X4	0.996110987707993
E10B11	E10X5	0.997464448061357
E10B11	E10X7	0.995378480262515
E10B11	E10X8	0.910623518986135
E10B11	E10X9	0.970969574513412
E10B12	E10B13	0.976572451073857
E10B12	E10B14	0.990977651624949
E10B12	E10B2	0.993499972532498
E10B12	E10B3	0.995798496003675
E10B12	E10B4	0.996412736895355
E10B12	E10B5	0.996888891349873
E10B12	E10B6	0.997708092444763
E10B12	E10B7	0.988097025069369
E10B12	E10B8	0.998433191146172
E10B12	E10B9	0.99579062136167
E10B12	E10H1a	0.987498292255196
E10B12	E10H1b	0.986636651496178
E10B12	E10H1c	0.99125025650199
E10B12	E10L1	0.986104040176816
E10B12	E10L10	0.88569032205256
E10B12	E10L2	0.966521486950586
E10B12	E10L3	0.995648413356382
E10B12	E10L5	0.97422079774536
