	Normal1	Per1	Per10	Per11	Per12	Per13	Per14	Per2	Per3	Per4	Per5	Per6	Per7	Per8	Per9	PT1	PT10	PT2	PT3	PT4	PT5	PT6	PT7	PT8	PT9	TD1	TD2	TD3	TD4
Per5	1.0471975511966	0.414765751235394	0.369288730457118	0.662392353818781	0.351555309331754	0.475446114237056	0.581602861433743	0.986996156648417	0.563306633779742	0.308920330424488	0	0.347837983886147	0.542159172631849	0.40801396118298	0.334780733958222	0.556708590416062	0.412011472536875	0.500520999955247	0.550709912231405	0.730682215828152	0.483935371157239	0.578338957278329	0.573398514418067	0.399208122385823	0.444546315632199	0.483136535680564	0.55829566887431	0.559043007605963	0.572202751308403
Per6	1.0471975511966	0.301625896169398	0.273153196041602	0.725421427985606	0.348157707869407	0.420948635109718	0.434230712011943	1.03055642595029	0.332643382909301	0.241853329628098	0.347837983886147	0	0.419226652577826	0.286192676535929	0.272187614081049	0.620146252198931	0.494052265862206	0.475748342445992	0.566329066201672	0.604406222508087	0.311506955717291	0.520704748996895	0.537735493939262	0.274290236041709	0.368703374501916	0.291860475604272	0.443628407094268	0.345059673720814	0.627437198445284
Per7	1.0471975511966	0.470276138529544	0.394870862045648	0.864463767003169	0.515837769732503	0.628489887894584	0.615830170811642	1.13042901968929	0.455643488547518	0.398411962580683	0.542159172631849	0.419226652577826	0	0.403603723526689	0.430231666099837	0.748943507676437	0.501000983324216	0.614210386877511	0.757803455502051	0.698159108357378	0.458274348718188	0.663551555654873	0.664439412234881	0.409728760651261	0.393917568931769	0.433959465646198	0.455918539164103	0.435638248991118	0.786904761274561
Per8	1.0471975511966	0.369942640404674	0.266601184560751	0.735881421924941	0.391720348101157	0.428021134835906	0.521497391993064	0.964502040267386	0.457983446915207	0.24884441669959	0.40801396118298	0.286192676535929	0.403603723526689	0	0.325483563322577	0.682475706652453	0.406824949831623	0.523741002044285	0.633271765513824	0.651263255559655	0.340286994263908	0.464970006816855	0.570546272599137	0.23951317835071	0.293174961025875	0.325454355026547	0.36704776602775	0.406311280435005	0.552861143472834
Per9	1.0471975511966	0.319718238298773	0.229139589960242	0.804026795686667	0.348134557463382	0.53092508550253	0.582455569724647	1.07629651879829	0.457864967512434	0.270285917545001	0.334780733958222	0.272187614081049	0.430231666099837	0.325483563322577	0	0.657590073578093	0.414135564196095	0.487006989494199	0.647671175463058	0.617564169256663	0.371626203654971	0.4469519261964	0.47883608263481	0.370721632319654	0.322831276799896	0.369378269465808	0.438491757514598	0.452105609719899	0.653456854392506
PT1	1.0471975511966	0.678991847973972	0.639222228617173	0.803563973882556	0.652513559858268	0.690938793004981	0.724545785537827	1.07172123309098	0.760741489358046	0.688235029746691	0.556708590416062	0.620146252198931	0.748943507676437	0.682475706652453	0.657590073578093	0	0.632752701328499	0.348597609071434	0.319520835592766	0.607576698168601	0.67587571261712	0.722164330462223	0.493179586956894	0.647854073197181	0.635804165250919	0.720712927189093	0.755023039955773	0.72411878471464	0.796846950989678
PT10	1.0471975511966	0.544955579356332	0.399007420463381	0.763024745976986	0.548797804120425	0.572849020454214	0.703987094089335	0.986445945271651	0.685579753331252	0.448729086470493	0.412011472536875	0.494052265862206	0.501000983324216	0.406824949831623	0.414135564196095	0.632752701328499	0	0.526160505040529	0.618230611544632	0.772027442812664	0.586164631033482	0.515239683066513	0.572117041003502	0.460890826909564	0.405862870803841	0.505796136784655	0.534934722673137	0.666423159567085	0.583285543610502
PT2	1.0471975511966	0.553304288696503	0.477055237989756	0.802284549137002	0.530594010289001	0.632308091422926	0.660990345308628	1.0587125529058	0.641465456267405	0.540336775158905	0.500520999955247	0.475748342445992	0.614210386877511	0.523741002044285	0.487006989494199	0.348597609071434	0.526160505040529	0	0.353808160641006	0.480997132393686	0.528241560383665	0.531312021127212	0.282744683686963	0.521387042791796	0.446230951404398	0.543172330918085	0.598352420583714	0.591951585782752	0.699458971811549
PT3	1.0471975511966	0.671497562134412	0.620824054608224	0.710154733443694	0.654357733763311	0.620533124873374	0.620525110709185	0.942460490351177	0.721801510501292	0.65816052537093	0.550709912231405	0.566329066201672	0.757803455502051	0.633271765513824	0.647671175463058	0.319520835592766	0.618230611544632	0.353808160641006	0	0.622684753147669	0.664703482755075	0.715398457669355	0.536730422910954	0.582669450677873	0.631909867976594	0.684927135276102	0.751736156262616	0.689254181309625	0.72264630986049
PT4	1.0471975511966	0.549541999918231	0.617125530160499	1.13052523546756	0.675929528475785	0.890378845257472	0.826655451454834	1.33207138663968	0.610675839195917	0.656750427123406	0.730682215828152	0.604406222508087	0.698159108357378	0.651263255559655	0.617564169256663	0.607576698168601	0.772027442812664	0.480997132393686	0.622684753147669	0	0.611006270190271	0.655794507101381	0.449088143265799	0.703135880796595	0.554888379388385	0.557262431461227	0.639595769137335	0.664722902534257	0.980132714663043
PT5	1.0471975511966	0.354660684403516	0.34201688099	0.794640419559462	0.335430033837368	0.473361290641622	0.499956040071657	1.04180607862757	0.436263451695542	0.329207037331548	0.483935371157239	0.311506955717291	0.458274348718188	0.340286994263908	0.371626203654971	0.67587571261712	0.586164631033482	0.528241560383665	0.664703482755075	0.611006270190271	0	0.508589362628979	0.572305994080147	0.342200228451643	0.43013588031522	0.442651541618952	0.51056786046072	0.354392335745032	0.643787121597103
PT6	1.0471975511966	0.600355326851728	0.459312947524703	0.872737605423078	0.560234968285362	0.63080216340381	0.708885384152836	0.997505523642456	0.707699379488503	0.516727290439298	0.578338957278329	0.520704748996895	0.663551555654873	0.464970006816855	0.4469519261964	0.722164330462223	0.515239683066513	0.531312021127212	0.715398457669355	0.655794507101381	0.508589362628979	0	0.498501292213291	0.524748491784924	0.420286936792817	0.544673781229457	0.62964565601416	0.623626925580815	0.620995106397551
PT7	1.0471975511966	0.558150029701959	0.526824515944219	0.935121934892197	0.572586162172588	0.7284239407658	0.741421038526465	1.12249313543982	0.663357801318389	0.568649797839107	0.573398514418067	0.537735493939262	0.664439412234881	0.570546272599137	0.47883608263481	0.493179586956894	0.572117041003502	0.282744683686963	0.536730422910954	0.449088143265799	0.572305994080147	0.498501292213291	0	0.589954940914459	0.484643457076491	0.535023353433523	0.628081728814508	0.650272740459347	0.745848996494063
PT8	1.0471975511966	0.448708052225332	0.328352349224432	0.607614108664119	0.358351423897634	0.310852311848829	0.376907478650764	0.865683095095016	0.435769370497447	0.312221106899527	0.399208122385823	0.274290236041709	0.409728760651261	0.23951317835071	0.370721632319654	0.647854073197181	0.460890826909564	0.521387042791796	0.582669450677873	0.703135880796595	0.342200228451643	0.524748491784924	0.589954940914459	0	0.362656950016383	0.408184075793241	0.477044021402504	0.323954631257815	0.525292798241693
PT9	1.0471975511966	0.426765516861235	0.271026858745312	0.841145263931685	0.420883283363369	0.557807618327706	0.63401041526673	1.09453814557938	0.474886418436199	0.360839173918946	0.444546315632199	0.368703374501916	0.393917568931769	0.293174961025875	0.322831276799896	0.635804165250919	0.405862870803841	0.446230951404398	0.631909867976594	0.554888379388385	0.43013588031522	0.420286936792817	0.484643457076491	0.362656950016383	0	0.359259379467134	0.364929928213465	0.470665118146282	0.688053918486302
TD1	1.0471975511966	0.307695986831949	0.396573904206965	0.900550358480312	0.466036200994554	0.615889180034035	0.608326476079105	1.13823626068601	0.38224978445671	0.317330296920138	0.483136535680564	0.291860475604272	0.433959465646198	0.325454355026547	0.369378269465808	0.720712927189093	0.505796136784655	0.543172330918085	0.684927135276102	0.557262431461227	0.442651541618952	0.544673781229457	0.535023353433523	0.408184075793241	0.359259379467134	0	0.331292043821945	0.468970598503724	0.694825151961243
TD2	1.0471975511966	0.410363541020572	0.404881599856942	0.924357296885863	0.495724216251904	0.656705875478688	0.689553326405442	1.17593405675866	0.432746378382904	0.447941669099867	0.55829566887431	0.443628407094268	0.455918539164103	0.36704776602775	0.438491757514598	0.755023039955773	0.534934722673137	0.598352420583714	0.751736156262616	0.639595769137335	0.51056786046072	0.62964565601416	0.628081728814508	0.477044021402504	0.364929928213465	0.331292043821945	0	0.505645388468031	0.764713409532984
TD3	1.0471975511966	0.472697024174251	0.416411196452231	0.742962486885753	0.404166414311345	0.494205164084415	0.41312825334048	1.04906786754242	0.323467487222721	0.443342566149076	0.559043007605963	0.345059673720814	0.435638248991118	0.406311280435005	0.452105609719899	0.72411878471464	0.666423159567085	0.591951585782752	0.689254181309625	0.664722902534257	0.354392335745032	0.623626925580815	0.650272740459347	0.323954631257815	0.470665118146282	0.468970598503724	0.505645388468031	0	0.742869303499022
TD4	1.0471975511966	0.745393708480096	0.659966127746336	0.534647705725846	0.683547019611427	0.440343839895345	0.57201754183093	0.659105530035469	0.826501664638094	0.586128038141576	0.572202751308403	0.627437198445284	0.786904761274561	0.552861143472834	0.653456854392506	0.796846950989678	0.583285543610502	0.699458971811549	0.72264630986049	0.980132714663043	0.643787121597103	0.620995106397551	0.745848996494063	0.525292798241693	0.688053918486302	0.694825151961243	0.764713409532984	0.742869303499022	0
