	Liv1a	Liv1b	Liv1c	Liv2	LN1	LN2	LN3	LN4	LN5a	LN5b	LN6	Normal1	Per1	Per10	Per11	Per12	Per13	Per14a	Per14b	Per14c	Per15a	Per15b	Per15c	Per16a	Per16b	Per16c	Per2	Per3	Per4a	Per4b	Per5	Per6	Per7	Per8	Per9	PT1	PT10	PT2	PT3	PT4	PT5	PT6	PT7	PT8	PT9
LN6	0.377786964116328	0.434733631039313	0.41654753458941	0.558326204720926	0.162724679504839	0.293408115411264	0.354714419732128	0.263662028891082	0.199540353594882	0.313569739219275	0	1.0471975511966	0.238164654998484	0.226450254320368	0.380013280479379	0.378304161095573	0.419857776211506	1.10739657171095	0.55658401467546	0.821470287255814	0.365977916163442	0.360757881304034	0.393859347268259	0.580426756256301	0.417264390410247	0.537055926620728	0.28648209731564	0.195053517921191	0.288426666011016	0.297740385233405	0.437963484863092	0.35930148612813	0.640556877146583	0.236363373022942	0.315077527842338	0.255318836246167	0.533113703292157	0.368475050952	0.465794577327361	0.236677951259023	0.24550979310033	0.302086044394769	0.349668760196819	0.336544831018059	0.533522095898347
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
Per1	0.302026521513695	0.339299087298315	0.374755839664425	0.675861954665662	0.242993401077885	0.361489147257378	0.426769245824534	0.32228150812804	0.275915199304956	0.32501457433298	0.238164654998484	1.0471975511966	0	0.301338897334699	0.398067098435437	0.429691865833396	0.500245906014945	1.10079563008117	0.563279454421065	0.832361797813457	0.453452315134492	0.460909886164937	0.529443012737411	0.668262556370537	0.528167180581841	0.654357361440267	0.318229179507907	0.276742954028344	0.352232700305684	0.312420582250447	0.504048483581154	0.348218174405871	0.661886905450905	0.301201804737598	0.304425526566006	0.282601162590297	0.464988099390183	0.372894886397115	0.443665934011914	0.310599442767414	0.293414567746954	0.3161673148037	0.286086519852846	0.451785885236495	0.557082502100312
Per10	0.402286185464792	0.43545084408216	0.378992059433369	0.535679090774433	0.234165250089458	0.34790287212779	0.45888359432974	0.310402858262128	0.235041217720587	0.314211665867882	0.226450254320368	1.0471975511966	0.301338897334699	0	0.304573234215253	0.231407245527516	0.395835250901267	1.09991580941188	0.458568367591825	0.767964800015184	0.334848235975679	0.40281217109098	0.377273018061075	0.578548849761619	0.465033984209531	0.551378504884162	0.269713059318091	0.188764621720379	0.29312574589892	0.270120515057733	0.439565284264756	0.345139030658179	0.554885611865684	0.254520673298128	0.285187312095735	0.231839454466148	0.487123138308693	0.295853362136303	0.481076717376808	0.163778765094491	0.178229987697207	0.374553199225147	0.346906391950362	0.33212399032337	0.499018127844225
Per11	0.509476934110766	0.505194926525811	0.37534800239639	0.529068926052628	0.379140899095491	0.472364955253793	0.581372360544467	0.487592298881433	0.299028095672092	0.25231582217261	0.380013280479379	1.0471975511966	0.398067098435437	0.304573234215253	0	0.314500114459043	0.333236297221212	1.06785088797686	0.284743539017898	0.67988074298068	0.286342974224379	0.425216082357394	0.41884204625619	0.586086398281057	0.463648372302045	0.617121825059944	0.191356672762394	0.278042286464121	0.326204007498402	0.229061250711692	0.391466152071952	0.270360013918934	0.481245865642495	0.433508579974966	0.227378306786788	0.380101550414793	0.516497934209	0.424942868639514	0.535594572203437	0.289213994887457	0.292381864826786	0.492079727750596	0.365344785514721	0.513655529720473	0.438863314874894
Per12	0.443893128538061	0.452392164864228	0.35379615566329	0.603703376101144	0.379985396116678	0.449226511119248	0.573362603747142	0.392758500666898	0.294000434451698	0.359096403539505	0.378304161095573	1.0471975511966	0.429691865833396	0.231407245527516	0.314500114459043	0	0.478783247962499	1.22741265006533	0.447424523717103	0.864462460893833	0.323071345928268	0.48224374291851	0.420635783818036	0.67726762852001	0.574591358177156	0.673163724200686	0.350958392784968	0.30604125159024	0.41093485599852	0.374835041762972	0.546877267533332	0.377453802218648	0.529615234331869	0.32238767261886	0.325115867867195	0.313319235771464	0.52642486902844	0.314643437157112	0.546667222543783	0.253063252510751	0.259454547332365	0.431068817367465	0.390686136280279	0.373137663128658	0.503203366334405
Per13	0.637302397246603	0.66262423517013	0.524995758898998	0.349503761581357	0.431525459320229	0.568272401174766	0.573999563938731	0.567649928960913	0.430247476736614	0.389890435174821	0.419857776211506	1.0471975511966	0.500245906014945	0.395835250901267	0.333236297221212	0.478783247962499	0	0.909881242632894	0.366926664211912	0.572310002967386	0.319607004536155	0.388644816967457	0.376737236684631	0.394519879600011	0.330182547664865	0.45113696845407	0.331784224982323	0.37379514985001	0.336834824151271	0.331136817406504	0.291268579029737	0.383103573196221	0.576861116575329	0.536042304526414	0.345333103820451	0.512442379987794	0.705322936683539	0.55939422591973	0.645109566715812	0.409474226992216	0.473717426675977	0.566528673525278	0.537533215516424	0.584749602381439	0.62407801183599
Per14a	1.13064792489854	1.15578731538275	1.09817048311392	0.877206227350334	1.12803643808295	1.160023515568	1.08867084985604	1.20858352240657	1.18162453682392	1.09873322273466	1.10739657171095	1.0471975511966	1.10079563008117	1.09991580941188	1.06785088797686	1.22741265006533	0.909881242632894	0	0.984068075484916	0.526408745942909	1.14036129941783	1.09436866013156	1.08606111306713	0.744111342971576	0.898926417335152	0.77437505806648	1.01982360433957	1.07901662949253	1.01800548240709	1.0335229683336	0.890409748622135	1.0354158345692	1.21514256327295	1.20134481473644	1.03008076421751	1.16189489679922	1.24532923833615	1.17309907701931	1.05207463322529	1.15291512577783	1.17375962740109	1.15047097492463	1.11994037702847	1.2425734672694	1.11087554673225
Per14b	0.637160352541342	0.604810389878323	0.450854739539075	0.514228602909521	0.555333473743575	0.659155727872653	0.694560119697248	0.645651367456494	0.507594956048677	0.463339597970584	0.55658401467546	1.0471975511966	0.563279454421065	0.458568367591825	0.284743539017898	0.447424523717103	0.366926664211912	0.984068075484916	0	0.606435014278546	0.400525203659788	0.544665253503578	0.499610866016113	0.581313475780551	0.539545498181765	0.667648695141607	0.386133608625018	0.452097291527412	0.445170796959065	0.361616220800533	0.432149340889646	0.376051559323197	0.531075902147083	0.61007132894172	0.367642320442039	0.5434590485823	0.631367887352616	0.533579574760417	0.623231431710081	0.463370182076794	0.491556349732553	0.612332274803898	0.476951735921516	0.645556797437174	0.481665341637039
Per14c	0.893498011818394	0.885545504839718	0.799468848857969	0.579821239984465	0.833931142721587	0.856437990932632	0.894971419529674	0.931274375616581	0.844681458148486	0.753280123791946	0.821470287255814	1.0471975511966	0.832361797813457	0.767964800015184	0.67988074298068	0.864462460893833	0.572310002967386	0.526408745942909	0.606435014278546	0	0.772786941093682	0.817411725470876	0.796050468665265	0.558107291675659	0.67234242380983	0.583198951458996	0.685458920058116	0.757005081033361	0.741771916993163	0.703769483037484	0.585455924525603	0.681679975952406	0.869334790957289	0.897801981173797	0.689440987331355	0.852669168442128	0.933152912045178	0.851998423279479	0.857617999908869	0.82174369244645	0.82881836485545	0.897105105168164	0.822068460557569	0.932455277839181	0.805987526485067
