	LN1	LN2	LN3	LN4	LN5	LN6	LN7	LN8	Normal1	Per1	Per10	Per11	Per12	Per13	Per14	Per15	Per16	Per2	Per3	Per4	Per5	Per6	Per7	Per8	Per9	PT1	PT2	PT3	PT4	PT5	PT6	PT7	PT8	TD1	TD2	TD3
Per10	0.910246056871735	0.732773690205305	0.255652051692053	0.785446655905744	0.825905508991685	0.385346400850715	0.773468168575273	0.263557884132462	1.0471975511966	0.463648022332801	0	0.504984142090123	0.353655218583863	0.439982759797058	0.916615149250874	0.561097928204657	0.518685106297583	0.94635849845989	0.486581876365641	0.404267722414827	0.176307837828175	0.51155610061115	0.497785317960745	0.696450422858262	0.410351958337032	0.602574827134356	0.732233020396295	0.482009084660305	1.16767696254932	0.215201215999368	0.723216017739587	0.552690457913669	0.403200963775305	0.383410805816897	0.42393870298972	0.282274002951075
Per11	1.20402539451731	0.838930689191427	0.582983124141534	1.07916158018711	1.12953113020986	0.590916540072888	1.02042750516119	0.436038847715958	1.0471975511966	0.472212823793286	0.504984142090123	0	0.429043788752048	0.512420321066807	0.735951252941559	0.582748222099854	0.3961748397334	0.738217049756634	0.517161752249723	0.420232196233472	0.509518733211858	0.452287538836881	0.467064706648118	0.566722224310582	0.453722523539852	0.597117891402272	0.662234394018243	0.500164106978636	1.17829795482733	0.540841798413922	0.634499415469985	0.57248844665134	0.478938545917722	0.525076801256409	0.547858426715998	0.479440240281123
Per12	1.09995584247423	0.809363388575981	0.439817328744042	0.96141399750299	1.04311355949668	0.405383841545297	0.880403314437636	0.337193332808572	1.0471975511966	0.325518469020088	0.353655218583863	0.429043788752048	0	0.312041907604402	0.819858467095527	0.512768819213707	0.390408205813751	0.848999210839033	0.420889736029169	0.274886943280489	0.364177516285756	0.355641073229667	0.392353058596347	0.61279533533312	0.311340348484894	0.574672570118033	0.678426253565263	0.421891006866679	1.26622796750689	0.413311797712893	0.657206416462374	0.527302079922057	0.300864216584019	0.332838519755576	0.490231234350209	0.344520343368534
Per13	1.1759087402596	0.816674013615099	0.480457307201613	1.03753078428966	1.12325732135917	0.468406421691584	0.949716695847869	0.435359336261593	1.0471975511966	0.316020250079461	0.439982759797058	0.512420321066807	0.312041907604402	0	0.783863071982977	0.50574668619163	0.453808611356414	0.850322049829507	0.359899782006481	0.348823335242897	0.425540190263437	0.404050223505924	0.423970843851129	0.608240330368594	0.336576903753472	0.523526009894063	0.629587101015287	0.434626984801333	1.3170090748898	0.478640626511707	0.629151569725417	0.518387621777131	0.358885590529503	0.367416382186707	0.500658923634906	0.328344498392284
Per14	1.57490851701303	1.1052919021641	0.956738910527301	1.42380220449856	1.54649608518798	0.912102253510956	1.30820953319197	0.855740386704971	1.0471975511966	0.706347744356273	0.916615149250874	0.735951252941559	0.819858467095527	0.783863071982977	0	0.620867296061535	0.668910188814372	0.450834907650288	0.806954204760827	0.733908992393704	0.880342026469095	0.610340935475159	0.567039823732624	0.339948667062292	0.770819618504798	0.601016484412136	0.431759982633629	0.62086842293059	1.51256925138623	0.929858560990275	0.437650841858733	0.530990776809378	0.798765485859508	0.871259309307845	0.821175754140601	0.833383374983204
Per15	1.38023913100222	0.983459220315693	0.636995881301579	1.24929303691229	1.31563817850556	0.603795949974851	1.1526382362159	0.52040925847998	1.0471975511966	0.378005129297634	0.561097928204657	0.582748222099854	0.512768819213707	0.50574668619163	0.620867296061535	0	0.431854776042757	0.714454970944769	0.481755580351327	0.509788485790282	0.483840264745648	0.361164619461993	0.364159835987891	0.439911209474772	0.374123255212702	0.293964936094208	0.40821799678947	0.254657277626778	1.48076273624872	0.602258383610067	0.438430472286268	0.274983690747509	0.517443727886726	0.547579566633699	0.460525550030874	0.555574771480423
Per16	1.22605328534716	0.759698068703178	0.585941582430852	1.08066168991945	1.17423706367409	0.593446957184389	0.975521439938737	0.450556743413954	1.0471975511966	0.335660819412291	0.518685106297583	0.3961748397334	0.390408205813751	0.453808611356414	0.668910188814372	0.431854776042757	0	0.658429067753759	0.467246093161742	0.282439080135396	0.494562731041997	0.328932535990227	0.438020379366961	0.451568104170982	0.357975636043638	0.4857499931315	0.574592245562763	0.442857665951149	1.17639120929487	0.531106296312995	0.558282423815742	0.520245794671787	0.395668769152504	0.439863587076555	0.495856696652742	0.463587654413043
Per2	1.52914192698737	1.07348439804349	0.986788620927201	1.33931429001955	1.51559383784645	0.971155041309766	1.23750854098228	0.849404315917642	1.0471975511966	0.716960058561602	0.94635849845989	0.738217049756634	0.848999210839033	0.850322049829507	0.450834907650288	0.714454970944769	0.658429067753759	0	0.829036367342231	0.734357685110614	0.933685284185698	0.696020852298707	0.717778457860802	0.414618627419564	0.812190081710138	0.672776245386783	0.610615782738276	0.720352396232259	1.43069507051415	0.956917667712467	0.593901539042942	0.6700240404893	0.815765693351573	0.836851074564987	0.83929681724689	0.838585006694298
Per3	1.23618566314726	0.866004273229082	0.48263536921334	1.08405052630583	1.16265009537285	0.458819065918	0.989103572924232	0.446146409659276	1.0471975511966	0.430890432733959	0.486581876365641	0.517161752249723	0.420889736029169	0.359899782006481	0.806954204760827	0.481755580351327	0.467246093161742	0.829036367342231	0	0.419950094432155	0.446573940157131	0.443669172491227	0.464027186178221	0.666053116666744	0.32278076420109	0.464918588999568	0.627240618414427	0.399302877475472	1.37304382015279	0.47827733077355	0.627680722508868	0.499390054370498	0.451184757764962	0.385326995908477	0.39236352265078	0.350779876516164
Per4	1.09146059620645	0.687855732011059	0.462465945791785	0.944077183508107	1.04009876165184	0.501708437836472	0.864305117757702	0.373872490588329	1.0471975511966	0.327139428880182	0.404267722414827	0.420232196233472	0.274886943280489	0.348823335242897	0.733908992393704	0.509788485790282	0.282439080135396	0.734357685110614	0.419950094432155	0	0.417629064496513	0.340528336052893	0.421210063324778	0.512764059218129	0.33922848998765	0.552465215176439	0.642424255014726	0.472819311847787	1.15270245760148	0.409575664186561	0.633337104581364	0.547335157141956	0.316114256524772	0.35369584160605	0.465589369152441	0.330689733326028
