	LN1	Lun1a	Lun1b	Lun2a	Lun2b	Normal1	Per1a	Per1b	Per2a	Per2b	Per2c	Per3a	Per3b	Per3c	PT1	PT2	PT3	PT4	PT5	PT6	PT7	PT8	PT9	TD1a	TD1b	TD2	TD3
Per2c	0.215702845851226	0.227155991428832	0.198816105242206	0.338078471853416	0.293260596658257	1.0471975511966	0.201831475246677	0.24386798337356	0.27372921668135	0.245140334968147	0	0.374501720346424	0.347031225484608	0.179253659481958	0.359618162774945	0.25486870383093	0.344418086876658	0.248039750289532	0.299393615862455	0.655381106544407	0.261312579818415	0.308371023205043	0.261839489174466	0.306995716741802	0.325676940389187	0.274359048534368	0.307366985861261
Per3a	0.33824680792625	0.300198245155852	0.324489871558098	0.0865853554907837	0.123696276763682	1.0471975511966	0.251010793305732	0.197798803510241	0.183906470445402	0.22994828821657	0.374501720346424	0	0.0863517476880599	0.259737545997152	0.134959869226808	0.371861725243917	0.149533710807951	0.237315450693895	0.1931251747177	0.532677872847787	0.266224974516934	0.239497237041539	0.362544352144804	0.273153038106295	0.37441073286468	0.263865978666931	0.281475261847371
Per3b	0.329554166829407	0.271409672468138	0.301830394864083	0.114113088149766	0.12239573232967	1.0471975511966	0.225383220411607	0.172310378474906	0.165984564773517	0.213438036985759	0.347031225484608	0.0863517476880599	0	0.230403779154721	0.139689028787975	0.342488652765403	0.156816930427731	0.218420257669032	0.166483609317506	0.546942859109726	0.234023537802033	0.207860334474638	0.335103152520139	0.25520282655815	0.347911873211137	0.238924501089521	0.255980669204687
Per3c	0.211029302511719	0.187990574915697	0.185125591193142	0.240177618465062	0.207785904808749	1.0471975511966	0.101309311226396	0.125654111922365	0.192903240050052	0.163003678868643	0.179253659481958	0.259737545997152	0.230403779154721	0	0.28075983946308	0.246031564277983	0.252286918857412	0.149679264524378	0.199608605519722	0.574078409357426	0.177985915262295	0.219580140217701	0.237445523626784	0.235309137751919	0.293510286843889	0.195856290833316	0.235995990482599
PT1	0.334581923997193	0.305441070192079	0.327658557357642	0.14119077132904	0.134080440463955	1.0471975511966	0.254407751424741	0.215974094480265	0.182623493928995	0.213748745829827	0.359618162774945	0.134959869226808	0.139689028787975	0.28075983946308	0	0.339083060869272	0.149097288906746	0.236868794076426	0.191578510711982	0.54001286374476	0.249152086564484	0.211104147927838	0.338235449141858	0.287440399395512	0.356118805228698	0.243509588982597	0.24606513929575
PT2	0.241413549906001	0.296444632122716	0.297120105035251	0.331293806958392	0.287737068654813	1.0471975511966	0.213487521881748	0.245436629658561	0.261601746665351	0.228282238898606	0.25486870383093	0.371861725243917	0.342488652765403	0.246031564277983	0.339083060869272	0	0.316016454383521	0.246427240148152	0.244550242238993	0.549388723452698	0.214538785997072	0.263707660744934	0.169428498093897	0.244783424932725	0.290628863806933	0.191787137613342	0.212468045680009
PT3	0.314211262326132	0.281545180106937	0.293885078616514	0.158348539115201	0.137914388516292	1.0471975511966	0.227575079383304	0.176556797608121	0.164887278591118	0.203191092714219	0.344418086876658	0.149533710807951	0.156816930427731	0.252286918857412	0.149097288906746	0.316016454383521	0	0.185232938505155	0.178247516944731	0.52156297802157	0.223636503307174	0.21145101270358	0.326501646290045	0.254266447926989	0.31282877538838	0.222774092355593	0.242919224713188
PT4	0.239882775898835	0.225104799572757	0.225135702836295	0.225648471890288	0.188306831638003	1.0471975511966	0.130600118707455	0.110345921520022	0.162585377545075	0.130819471289168	0.248039750289532	0.237315450693895	0.218420257669032	0.149679264524378	0.236868794076426	0.246427240148152	0.185232938505155	0	0.161607176627634	0.544410726392692	0.1618749946032	0.170268464110561	0.260500770442279	0.238095198586745	0.284489514708154	0.183215170223212	0.220452706971845
PT5	0.235404283468351	0.222979158018303	0.255912423841822	0.177330798640344	0.154917788180344	1.0471975511966	0.169757454163896	0.137540203421533	0.164682728046323	0.140649232096676	0.299393615862455	0.1931251747177	0.166483609317506	0.199608605519722	0.191578510711982	0.244550242238993	0.178247516944731	0.161607176627634	0	0.513778151410226	0.126935399750239	0.167889286264558	0.258778671627167	0.167479371068797	0.286123536961271	0.191300714474245	0.188526814887218
PT6	0.58696598547495	0.624514013020846	0.638356162661189	0.529492072745636	0.53109855671354	1.0471975511966	0.532939243806819	0.560900501713281	0.53163568682715	0.515974776930169	0.655381106544407	0.532677872847787	0.546942859109726	0.574078409357426	0.54001286374476	0.549388723452698	0.52156297802157	0.544410726392692	0.513778151410226	0	0.510861240281416	0.524580571672144	0.495683626110781	0.509896776818358	0.540881571352595	0.494237367064251	0.474672354139324
PT7	0.219655015745028	0.227539580812024	0.249280403391552	0.245682530717652	0.199888362517991	1.0471975511966	0.140749457138598	0.142727365956336	0.185595420954589	0.154302204879741	0.261312579818415	0.266224974516934	0.234023537802033	0.177985915262295	0.249152086564484	0.214538785997072	0.223636503307174	0.1618749946032	0.126935399750239	0.510861240281416	0	0.176321107585977	0.228575063725311	0.173922562868384	0.247847676707848	0.164873342817618	0.169108260941256
PT8	0.310235045001621	0.27430491272144	0.297972190744239	0.222502875194333	0.191669987806677	1.0471975511966	0.167923216213136	0.167865633529471	0.181017688945303	0.121599136833727	0.308371023205043	0.239497237041539	0.207860334474638	0.219580140217701	0.211104147927838	0.263707660744934	0.21145101270358	0.170268464110561	0.167889286264558	0.524580571672144	0.176321107585977	0	0.239824668412405	0.242396027582827	0.312475596460319	0.171049507091969	0.177099755669585
PT9	0.281316699124	0.294755385530367	0.298592560430289	0.316398289008501	0.285655214448909	1.0471975511966	0.19550991326364	0.261818852104877	0.247582122787479	0.194981048547909	0.261839489174466	0.362544352144804	0.335103152520139	0.237445523626784	0.338235449141858	0.169428498093897	0.326501646290045	0.260500770442279	0.258778671627167	0.495683626110781	0.228575063725311	0.239824668412405	0	0.250607031826839	0.308811981667433	0.182862391841001	0.189734690176638
TD1a	0.242626403539115	0.256479945526383	0.288520134498975	0.255758062773268	0.238124478145279	1.0471975511966	0.202249626276564	0.198285455928012	0.221167943579005	0.209262517371971	0.306995716741802	0.273153038106295	0.25520282655815	0.235309137751919	0.287440399395512	0.244783424932725	0.254266447926989	0.238095198586745	0.167479371068797	0.509896776818358	0.173922562868384	0.242396027582827	0.250607031826839	0	0.263394117299702	0.214660748774477	0.209934020978396
TD1b	0.30820305328011	0.315100397061913	0.321702633010132	0.372248335818596	0.327809641259039	1.0471975511966	0.265248329942797	0.28131183689132	0.302500243127571	0.286472688968863	0.325676940389187	0.37441073286468	0.347911873211137	0.293510286843889	0.356118805228698	0.290628863806933	0.31282877538838	0.284489514708154	0.286123536961271	0.540881571352595	0.247847676707848	0.312475596460319	0.308811981667433	0.263394117299702	0	0.269156812110976	0.299016482976705
TD2	0.269323928342476	0.285103506338323	0.298756883200336	0.236719227671802	0.200670821466822	1.0471975511966	0.138118278464556	0.16454555275481	0.14350343084662	0.147662551050027	0.274359048534368	0.263865978666931	0.238924501089521	0.195856290833316	0.243509588982597	0.191787137613342	0.222774092355593	0.183215170223212	0.191300714474245	0.494237367064251	0.164873342817618	0.171049507091969	0.182862391841001	0.214660748774477	0.269156812110976	0	0.151075319377234
TD3	0.283863073176285	0.301755450898426	0.322345435621623	0.248556531952446	0.21543454054628	1.0471975511966	0.176263250634922	0.207614857874097	0.18866832255115	0.165340720870687	0.307366985861261	0.281475261847371	0.255980669204687	0.235995990482599	0.24606513929575	0.212468045680009	0.242919224713188	0.220452706971845	0.188526814887218	0.474672354139324	0.169108260941256	0.177099755669585	0.189734690176638	0.209934020978396	0.299016482976705	0.151075319377234	0
