	Ld1a	Ld1b	LN1a	LN1b	Normal1	Per1	Per2	Per3	Per4	Per5	Per6	Per7	Per8	Per9	PT1	PT10	PT11	PT2	PT3	PT4	PT5	PT6	PT7	PT8	PT9	TD1	TD2	TD3	TD4	TD5	TD6
Per6	0.480768269361259	0.632232844613493	0.414771452174581	0.391089615596238	1.0471975511966	0.337502249417629	0.712193217614611	0.412053371225525	0.487854409570622	0.370782695878197	0	0.37339495624219	0.363358861491859	0.447942988849844	0.706394677317795	0.703739513420425	0.885001996727981	0.786970596342867	0.913510134962963	0.80055988551262	0.931767564356305	0.451107017477001	0.396620493265913	0.763566438409914	0.740233178049762	0.411838411621477	0.409137930754781	0.418495019933342	0.426376675676029	0.429446179082952	0.677790488392015
Per7	0.47598096966503	0.592290183137234	0.419684939211681	0.404384427347802	1.0471975511966	0.417549690459422	0.685069151036676	0.414236554152424	0.483107608510396	0.471287659583881	0.37339495624219	0	0.42604542325637	0.515892453136453	0.613505483453646	0.64146420965495	0.879692422960238	0.687907682967698	0.843271767383929	0.713392920325978	0.89281435728308	0.444536572607913	0.297623852132506	0.693016709229363	0.6639460770007	0.40096433562397	0.386316640242556	0.351850872195888	0.457042809972281	0.34409702813232	0.706899068727839
Per8	0.484203711793836	0.593964527293437	0.395693642747164	0.414275591682166	1.0471975511966	0.345293459729146	0.783912190908889	0.40299078156508	0.532937370951257	0.45281503506588	0.363358861491859	0.42604542325637	0	0.4917850661275	0.653429650336942	0.69099338336837	0.814607685670002	0.722984584718626	0.811512430401883	0.69100965878091	0.895495382737221	0.463928302023822	0.4575883724216	0.76573915298869	0.720531261854792	0.448213420248634	0.384026117689698	0.262286989541669	0.466138994994736	0.465124772855338	0.726415038104848
Per9	0.61037957790096	0.784051108574229	0.526188535334067	0.522048606843065	1.0471975511966	0.291726777399347	0.693871151863423	0.419350783289635	0.516350927760233	0.426800286118765	0.447942988849844	0.515892453136453	0.4917850661275	0	0.800625400959399	0.770045511265191	0.892571558585258	0.951059047697991	0.977554151654353	0.919957826793372	1.0271655238951	0.633481368616869	0.537246092736509	0.878232465942545	0.86928851502146	0.438322209216018	0.556401720587988	0.499082757855509	0.609594659326742	0.551326661578116	0.55773179302504
PT1	0.711622183744185	0.689518703280421	0.628166248938052	0.584513325426107	1.0471975511966	0.704444282956714	0.789592493130247	0.591373978217149	0.705257768700577	0.733402509459454	0.706394677317795	0.613505483453646	0.653429650336942	0.800625400959399	0	0.52087478316673	0.709366489175696	0.314040037532828	0.414483729568663	0.376300725420192	0.633453231780674	0.571763719786062	0.608909214679104	0.526512875516251	0.517956366314373	0.595246565831693	0.678335437264026	0.56760211938642	0.66062291985953	0.54717937641396	0.887888369893985
PT10	0.562105616521911	0.604485886419844	0.561358839540721	0.62845456765928	1.0471975511966	0.726349605417914	0.869507093679803	0.567183286738461	0.543861777425979	0.735957297146647	0.703739513420425	0.64146420965495	0.69099338336837	0.770045511265191	0.52087478316673	0	0.651199414681965	0.580933698462388	0.549058963064867	0.509749040393614	0.800422142992427	0.622779213683849	0.613492912682113	0.223111557147935	0.206449695479043	0.546848856470182	0.747647373203505	0.67866792770646	0.778869586148401	0.585054882834942	1.01966375267733
PT11	0.908488770431371	0.993226346020429	0.810534074935513	0.906224236305841	1.0471975511966	0.875271354147767	1.06549180474916	0.844296438648192	0.814377678618115	0.879839553186411	0.885001996727981	0.879692422960238	0.814607685670002	0.892571558585258	0.709366489175696	0.651199414681965	0	0.680877480841636	0.609189808514836	0.64200188645269	0.82226081175071	0.953661684160716	0.887809766693725	0.669261598612448	0.712775619670126	0.794390070731096	0.934366970083314	0.770969902215888	0.970882659306817	0.932122367539897	1.11398138592959
PT2	0.784247028583366	0.758704205915321	0.699539768285133	0.709725071452886	1.0471975511966	0.826255285110546	0.956577643388822	0.760783676938629	0.851816667670654	0.859788689072938	0.786970596342867	0.687907682967698	0.722984584718626	0.951059047697991	0.314040037532828	0.580933698462388	0.680877480841636	0	0.486786565035253	0.444951875257911	0.701509027857749	0.660171948586391	0.719550661054488	0.574342250578783	0.532716859682129	0.758019026204283	0.767414864771188	0.656758126495446	0.728240768119372	0.703441025142447	1.04504023018238
PT3	0.849903319350766	0.815946473012083	0.78732711491987	0.824379145082555	1.0471975511966	0.90029657814358	1.03733812330773	0.731572676325302	0.797794038835392	0.91154683155839	0.913510134962963	0.843271767383929	0.811512430401883	0.977554151654353	0.414483729568663	0.549058963064867	0.609189808514836	0.486786565035253	0	0.26997089726678	0.728899938509275	0.841406132012293	0.8334657392405	0.532582480315402	0.539249176046394	0.745891623478979	0.941477707118276	0.736311418447669	0.895191046071533	0.767017524719534	1.04163912217543
PT4	0.746104013972514	0.699394134372969	0.714628448430218	0.730285022744454	1.0471975511966	0.805229370106867	0.96067956151584	0.65827449892665	0.728191711842993	0.819586167876885	0.80055988551262	0.713392920325978	0.69100965878091	0.919957826793372	0.376300725420192	0.509749040393614	0.64200188645269	0.444951875257911	0.26997089726678	0	0.686305281305119	0.716811180731833	0.732543521933259	0.487274378904823	0.488409856209392	0.663956729321518	0.790892270526647	0.634160616989849	0.775055816556309	0.661387079978429	0.980107870124215
PT5	0.90888682737455	0.892235359964276	0.863595827947759	0.852230094450517	1.0471975511966	1.00437289122132	0.727584701422564	0.881230578654523	0.939403700775873	0.98463554420012	0.931767564356305	0.89281435728308	0.895495382737221	1.0271655238951	0.633453231780674	0.800422142992427	0.82226081175071	0.701509027857749	0.728899938509275	0.686305281305119	0	0.840497717179991	0.903581980158484	0.796195308622272	0.802369641438259	0.877620081495015	0.911725358652978	0.843639997734138	0.940811805230736	0.890766563930039	1.13080915289082
PT6	0.362516478768469	0.367676053136101	0.368516210634861	0.24822339523393	1.0471975511966	0.506397806048683	0.623225529634025	0.446014573008623	0.571704539513964	0.474244262926709	0.451107017477001	0.444536572607913	0.463928302023822	0.633481368616869	0.571763719786062	0.622779213683849	0.953661684160716	0.660171948586391	0.841406132012293	0.716811180731833	0.840497717179991	0	0.391511808856129	0.642105503388495	0.639722373166287	0.451370070783056	0.401935032563188	0.459701925155457	0.436533043399556	0.327741052037646	0.830662039792233
PT7	0.418535882530124	0.534017794425777	0.344107018990886	0.317428166404817	1.0471975511966	0.473076161150722	0.606867531181627	0.36583406371843	0.36991925539877	0.454145126811067	0.396620493265913	0.297623852132506	0.4575883724216	0.537246092736509	0.608909214679104	0.613492912682113	0.887809766693725	0.719550661054488	0.8334657392405	0.732543521933259	0.903581980158484	0.391511808856129	0	0.636388742680022	0.664619983211931	0.329626110578342	0.465529977950517	0.435909904474306	0.511103457553224	0.294403595236255	0.826999667563326
PT8	0.603464299437185	0.605343468566318	0.627674513068308	0.667664889179101	1.0471975511966	0.817813559712315	0.873922825380229	0.628609634434566	0.568791106151836	0.769083199565376	0.763566438409914	0.693016709229363	0.76573915298869	0.878232465942545	0.526512875516251	0.223111557147935	0.669261598612448	0.574342250578783	0.532582480315402	0.487274378904823	0.796195308622272	0.642105503388495	0.636388742680022	0	0.261260671244781	0.567583216608752	0.779321666409411	0.717268024723196	0.806573968311844	0.598132024502044	1.09407509914661
PT9	0.617993023565157	0.622837771998366	0.639352583401007	0.673408226112314	1.0471975511966	0.790798776826645	0.938213646104585	0.6447071565124	0.634847625723795	0.806922805439055	0.740233178049762	0.6639460770007	0.720531261854792	0.86928851502146	0.517956366314373	0.206449695479043	0.712775619670126	0.532716859682129	0.539249176046394	0.488409856209392	0.802369641438259	0.639722373166287	0.664619983211931	0.261260671244781	0	0.623582636709204	0.763908360032034	0.700250335789218	0.762572163353803	0.606498496629253	1.04132287542134
TD1	0.428464524813224	0.55439402281447	0.407465410549846	0.375435801116068	1.0471975511966	0.414510744475575	0.606861209165282	0.206435761890341	0.215904577905953	0.374069392552081	0.411838411621477	0.40096433562397	0.448213420248634	0.438322209216018	0.595246565831693	0.546848856470182	0.794390070731096	0.758019026204283	0.745891623478979	0.663956729321518	0.877620081495015	0.451370070783056	0.329626110578342	0.567583216608752	0.623582636709204	0	0.475535455405029	0.378138867269213	0.520385506485934	0.271466657699018	0.712271970491581
TD2	0.505033301553856	0.570572026527737	0.500073238689396	0.436492398549779	1.0471975511966	0.397970714614066	0.703723323093226	0.509502603663681	0.57471185973315	0.403578175820571	0.409137930754781	0.386316640242556	0.384026117689698	0.556401720587988	0.678335437264026	0.747647373203505	0.934366970083314	0.767414864771188	0.941477707118276	0.790892270526647	0.911725358652978	0.401935032563188	0.465529977950517	0.779321666409411	0.763908360032034	0.475535455405029	0	0.370194883940888	0.415485523699929	0.408914389371066	0.712702807022714
TD3	0.509242314993569	0.596092160009474	0.420843359820506	0.414714502202681	1.0471975511966	0.39058966242141	0.726858615417409	0.355476301244439	0.509783198131875	0.435544126501644	0.418495019933342	0.351850872195888	0.262286989541669	0.499082757855509	0.56760211938642	0.67866792770646	0.770969902215888	0.656758126495446	0.736311418447669	0.634160616989849	0.843639997734138	0.459701925155457	0.435909904474306	0.717268024723196	0.700250335789218	0.378138867269213	0.370194883940888	0	0.454018934796972	0.391716293952448	0.666805361462721
TD4	0.580297147824321	0.650605115259714	0.58122467635798	0.464173042908388	1.0471975511966	0.43316210682159	0.747350347690426	0.544341837183893	0.636299766150113	0.509369620667792	0.426376675676029	0.457042809972281	0.466138994994736	0.609594659326742	0.66062291985953	0.778869586148401	0.970882659306817	0.728240768119372	0.895191046071533	0.775055816556309	0.940811805230736	0.436533043399556	0.511103457553224	0.806573968311844	0.762572163353803	0.520385506485934	0.415485523699929	0.454018934796972	0	0.401218280737237	0.624180389319172
TD5	0.390708936114906	0.446460376146033	0.413874114773439	0.314048668346729	1.0471975511966	0.439394078192194	0.638393397594211	0.292150871304498	0.381928548326364	0.4377051701053	0.429446179082952	0.34409702813232	0.465124772855338	0.551326661578116	0.54717937641396	0.585054882834942	0.932122367539897	0.703441025142447	0.767017524719534	0.661387079978429	0.890766563930039	0.327741052037646	0.294403595236255	0.598132024502044	0.606498496629253	0.271466657699018	0.408914389371066	0.391716293952448	0.401218280737237	0	0.704433313500017
TD6	0.911214886189899	0.98180407078518	0.876523038285871	0.788324002954678	1.0471975511966	0.51224327002363	0.90529304781336	0.692001662148901	0.819981844635959	0.605691878139137	0.677790488392015	0.706899068727839	0.726415038104848	0.55773179302504	0.887888369893985	1.01966375267733	1.11398138592959	1.04504023018238	1.04163912217543	0.980107870124215	1.13080915289082	0.830662039792233	0.826999667563326	1.09407509914661	1.04132287542134	0.712271970491581	0.712702807022714	0.666805361462721	0.624180389319172	0.704433313500017	0
