	Liv1	LN1	LN2	Normal1	Per1	Per2	Per3	Per4	Per5	Per6	Per7	PT1	PT10	PT2	PT3	PT4	PT5	PT6	PT7	PT8	PT9	TD1a	TD1b	TD2	TD3
Per7	0.328215101427097	0.402250612461245	0.408444039632611	1.0471975511966	0.488159860223738	0.915922972302934	0.465110452141202	0.394425131922933	0.373068387454971	0.418247297413944	0	0.471864869209015	0.574805605272809	0.546495296074012	0.853875468622809	0.738661655377541	0.385802743897419	0.407815089603704	0.854903180054899	0.82327876766648	0.790704279067864	0.4336167404032	0.478000397832833	0.474680736350689	0.341030213786702
PT1	0.399059970137378	0.343745214057992	0.368695355844231	1.0471975511966	0.398772815903045	0.821217746510311	0.39406860883293	0.445962541406721	0.380699297142661	0.265401188573121	0.471864869209015	0	0.437761894092936	0.253960231365197	0.714764724693476	0.643427696400408	0.328110141049276	0.244586438895938	0.705781170638692	0.63179239994774	0.640215109591894	0.302878479223655	0.385953465448194	0.40678913268129	0.30275238013779
PT10	0.420019372281118	0.584013462790294	0.488785034474154	1.0471975511966	0.401330069987907	0.755415429427405	0.521120321619392	0.441936719458693	0.420035633447937	0.45681577481576	0.574805605272809	0.437761894092936	0	0.342747635235942	0.376029797207559	0.316762614284829	0.367005128853703	0.338731686034211	0.53294703640398	0.554211666436339	0.542315638560285	0.376163193849453	0.428170329105962	0.329856311782796	0.467261621840628
PT2	0.430029898607977	0.474464915262957	0.406732068915054	1.0471975511966	0.32365088427519	0.783075728893128	0.431396590936938	0.436393455570788	0.350348989978567	0.360038780184954	0.546495296074012	0.253960231365197	0.342747635235942	0	0.604455746008407	0.569552781409372	0.310715050208727	0.210704481639204	0.699331044784584	0.643021269988786	0.653199398342926	0.300752360189077	0.347142622203217	0.306441430396179	0.415473019995845
PT3	0.730873841565529	0.879405058149882	0.7837898164708	1.0471975511966	0.69526336779599	0.862639075049244	0.743275283073662	0.718816901524315	0.698359913166755	0.709846386739018	0.853875468622809	0.714764724693476	0.376029797207559	0.604455746008407	0	0.22730822485561	0.667023082802154	0.633446583207823	0.447603303359061	0.559022374504944	0.594705043225336	0.669161027243398	0.7033068453119	0.614415730916784	0.747707150286549
PT4	0.644758580503318	0.799178441212882	0.714369573114697	1.0471975511966	0.660751384006043	0.842856920983162	0.700553045843785	0.641111280725289	0.636237551170332	0.650029285666894	0.738661655377541	0.643427696400408	0.316762614284829	0.569552781409372	0.22730822485561	0	0.595087783276368	0.551623522634554	0.423846788069365	0.530347710156288	0.537387436757568	0.61526000371903	0.673048018390851	0.573870992915647	0.670556267691155
PT5	0.26261624321509	0.341095733446661	0.259628006554093	1.0471975511966	0.218587282303876	0.749916856095805	0.351359558167602	0.297659951332737	0.211611058529089	0.240164825592569	0.385802743897419	0.328110141049276	0.367005128853703	0.310715050208727	0.667023082802154	0.595087783276368	0	0.262214614542088	0.727336552320103	0.689964515162208	0.666688471929854	0.176937638215497	0.229998724735927	0.220960326675955	0.237824549611173
PT6	0.311429668552841	0.421809650701452	0.367352814206694	1.0471975511966	0.33431360521491	0.77733910954434	0.392621310242229	0.346966541187351	0.310039973896089	0.303325878128645	0.407815089603704	0.244586438895938	0.338731686034211	0.210704481639204	0.633446583207823	0.551623522634554	0.262214614542088	0	0.664241208842681	0.609864758813025	0.610960368319091	0.28766808270612	0.339000782253362	0.29414149054347	0.321869718250053
PT7	0.760461182785018	0.854788338429001	0.808404748691208	1.0471975511966	0.778630003638417	0.886095668645492	0.772955454167047	0.796433991732188	0.782335024278141	0.683674117711426	0.854903180054899	0.705781170638692	0.53294703640398	0.699331044784584	0.447603303359061	0.423846788069365	0.727336552320103	0.664241208842681	0	0.279768536424957	0.374922198255251	0.708272080351095	0.748096086369025	0.712511146196938	0.736629734813656
PT8	0.71046598900023	0.774148207856039	0.755908833608847	1.0471975511966	0.720868986506752	0.891440874240939	0.763569021340437	0.768979500337846	0.747166324911008	0.63361542577466	0.82327876766648	0.63179239994774	0.554211666436339	0.643021269988786	0.559022374504944	0.530347710156288	0.689964515162208	0.609864758813025	0.279768536424957	0	0.285399406646717	0.651940755503291	0.682133805332327	0.665240467472639	0.687550732005837
PT9	0.674181923478989	0.75467818344487	0.735796212855331	1.0471975511966	0.696550013119225	0.845760530065019	0.781193241604716	0.771675837911515	0.715993660980607	0.660176323413979	0.790704279067864	0.640215109591894	0.542315638560285	0.653199398342926	0.594705043225336	0.537387436757568	0.666688471929854	0.610960368319091	0.374922198255251	0.285399406646717	0	0.651989524268001	0.671804293353025	0.643898227910004	0.66996202063186
TD1a	0.298943165874407	0.354905890612921	0.273663710623023	1.0471975511966	0.228829389390003	0.767351236845145	0.323015193341117	0.357198108222039	0.264948942593696	0.230981265581625	0.4336167404032	0.302878479223655	0.376163193849453	0.300752360189077	0.669161027243398	0.61526000371903	0.176937638215497	0.28766808270612	0.708272080351095	0.651940755503291	0.651989524268001	0	0.232734309664671	0.251362082486161	0.268258531480794
TD1b	0.289937824453142	0.364194557198992	0.290498045145241	1.0471975511966	0.176974138719994	0.788595231547396	0.382922372078411	0.397759828226774	0.312878873992258	0.284839574957912	0.478000397832833	0.385953465448194	0.428170329105962	0.347142622203217	0.7033068453119	0.673048018390851	0.229998724735927	0.339000782253362	0.748096086369025	0.682133805332327	0.671804293353025	0.232734309664671	0	0.229031114975694	0.283878847237863
