	Ld1	LN1	LN2	LN3	LN4	Normal1	OvH1	Per10	Per1a	Per1b	Per2a	Per2b	Per2c	Per3	Per4a	Per4b	Per5	Per6a	Per6b	Per6c	Per6d	Per7	Per8	Per9	PT1	PT10	PT11	PT12	PT2	PT3	PT4	PT5	PT6	PT7	PT8	PT9
Per2a	0.254142563490682	0.172881715929508	0.469472562842641	0.527425316078698	0.23194373465188	1.0471975511966	0.368098982055329	0.425429093198822	0.718075323084214	0.268627214640562	0	0.301439259847905	0.470198911872348	0.270281349476114	0.293551644331315	0.199675845107373	0.278475192940337	0.180221100555256	0.489926120199085	0.291858706112394	0.294718900910767	0.689643529969125	0.274202759346672	0.33006579453104	0.362386829982057	0.263530268494646	0.353523771549704	0.335526986872307	0.333986249493495	0.361343485758995	0.30823126275678	0.360292138220937	0.313587439428667	0.306947102002301	0.319405004462906	0.304889227207666
Per2b	0.285842473125761	0.293238850086457	0.541328428908825	0.425300688955499	0.264046926581611	1.0471975511966	0.316322348897405	0.389554186061444	0.780028397169166	0.268296045473696	0.301439259847905	0	0.505354761196368	0.179814341987196	0.291542199601239	0.278981125514977	0.256000776038467	0.316723706869184	0.546717319565023	0.212279901195428	0.356808056256449	0.777308121335489	0.320064737729638	0.304283779463374	0.204849594141565	0.286179536293721	0.289272862352637	0.272073641437089	0.19548869719565	0.261048738125523	0.505777947022469	0.262049038795383	0.243359751257895	0.200628640943359	0.184389367512547	0.231519537788469
Per2c	0.552108753873403	0.547775706805248	0.734884662496112	0.772805011621819	0.495910012422585	1.0471975511966	0.494615580665806	0.627059373035647	0.919962792141025	0.571905206218642	0.470198911872348	0.505354761196368	0	0.464870339792617	0.542255355335531	0.543727790533921	0.516091160109325	0.398105144473871	0.213972968525333	0.419908205110381	0.531531956658524	0.31469173643783	0.656701196480495	0.636850614180236	0.589048407265123	0.611975541288202	0.694427110143475	0.66018271420996	0.593952876530793	0.587886682591927	0.600187715212133	0.536312015262771	0.58160085025784	0.547954236528229	0.572131299012989	0.579041319545079
Per3	0.258049605757197	0.307706131726301	0.509362044727584	0.546884094304878	0.226064263454888	1.0471975511966	0.295214424913971	0.476202255603934	0.754569232092193	0.30733641088954	0.270281349476114	0.179814341987196	0.464870339792617	0	0.242219019507203	0.246237921616753	0.227755420917411	0.276416012058883	0.472371938376533	0.21510424646029	0.384350450808171	0.735294407165448	0.344131500264116	0.358426032910793	0.288599173163798	0.325712414843557	0.374125421439875	0.29809141263999	0.275719093883593	0.294527765213594	0.496563282090303	0.279049505183425	0.277849228658908	0.24632376779687	0.256359954806794	0.287550505108592
Per4a	0.158601927476582	0.310423847223262	0.464831589700856	0.526000566646612	0.108260821682525	1.0471975511966	0.42856678944372	0.441993681758836	0.787010569040357	0.269284415205054	0.293551644331315	0.291542199601239	0.542255355335531	0.242219019507203	0	0.140689197898629	0.271317959129992	0.312662059918344	0.561992589564782	0.327674025194543	0.455582440504757	0.782663896744345	0.322504122218591	0.328212886639045	0.312837009536324	0.254498802608474	0.311454080120259	0.241778342193343	0.286443788620712	0.255904974190373	0.529905216635268	0.320581000733366	0.236498816759816	0.263548800136617	0.26588863797838	0.203789645124607
Per4b	0.150522033290721	0.212133502083115	0.455680249661557	0.490395066121235	0.109146214255291	1.0471975511966	0.395683951698124	0.410851902502026	0.753828452639832	0.217029492959824	0.199675845107373	0.278981125514977	0.543727790533921	0.246237921616753	0.140689197898629	0	0.254077406959279	0.249725302548776	0.564759839905247	0.311497150437674	0.391410358954116	0.77896252990089	0.248332565171092	0.274109205278584	0.297274558199025	0.18284962638862	0.258908943247326	0.213451844261412	0.25998741940846	0.254543467633519	0.431490318990466	0.31490864984574	0.222018724618207	0.242950535187857	0.240775135015446	0.185043134949568
Per5	0.276316465098809	0.276784749220991	0.501401374315418	0.4788058006749	0.246864916055016	1.0471975511966	0.244030244903734	0.428528407135571	0.742776266698392	0.245505399773599	0.278475192940337	0.256000776038467	0.516091160109325	0.227755420917411	0.271317959129992	0.254077406959279	0	0.302303994384693	0.532042024064006	0.26172809887512	0.337940231696642	0.757286237250128	0.290702617084173	0.336868959007396	0.337012057668082	0.322628409581744	0.371756811976067	0.335032519857278	0.316923246691791	0.313743687446708	0.498785972599687	0.320410376402733	0.314357889706294	0.312582498040893	0.301135431440668	0.305835553578209
Per6a	0.259237673578024	0.248373232632498	0.510692448131779	0.553071183191423	0.254157771541134	1.0471975511966	0.371536537988923	0.440851977542469	0.773468192003765	0.299903084326206	0.180221100555256	0.316723706869184	0.398105144473871	0.276416012058883	0.312662059918344	0.249725302548776	0.302303994384693	0	0.416009979800013	0.323475463628134	0.383231167547637	0.626294338498872	0.328926266660912	0.332475871844837	0.386187072519232	0.313880840175395	0.390320557195844	0.378179580964153	0.359619412843955	0.366283020293271	0.377415585804477	0.367958176227377	0.305705078039982	0.276530047846598	0.333421636758338	0.335009221097541
Per6b	0.558764249344716	0.571445298097412	0.743326913197716	0.851589344338509	0.524163023737819	1.0471975511966	0.489977349723932	0.711492777449501	0.84887558212128	0.634051047671405	0.489926120199085	0.546717319565023	0.213972968525333	0.472371938376533	0.561992589564782	0.564759839905247	0.532042024064006	0.416009979800013	0	0.488086438638041	0.554276678493233	0.370778740664558	0.699126373989395	0.669688676764366	0.615348991161354	0.641868935729943	0.72610572355678	0.663202175116114	0.60917949956633	0.607876236310266	0.601794810818087	0.567678688410118	0.589368669726487	0.567415389216578	0.593709180690027	0.613697744957813
Per6c	0.345426158030021	0.321539225322154	0.550757150159237	0.496087088937456	0.293328259443697	1.0471975511966	0.325074955154653	0.455604883431571	0.795562791466491	0.317659033955647	0.291858706112394	0.212279901195428	0.419908205110381	0.21510424646029	0.327674025194543	0.311497150437674	0.26172809887512	0.323475463628134	0.488086438638041	0	0.307738166925414	0.702859319527538	0.376688056436601	0.415223171628069	0.331159533135284	0.362138181740668	0.416755094816911	0.377056682617968	0.334941048171991	0.342172100926127	0.473286770087917	0.282813549236251	0.357871377364963	0.329452847782469	0.310691029009857	0.342406993314396
Per6d	0.437477193115039	0.303920724060207	0.567007558211773	0.518208309526325	0.411484933446839	1.0471975511966	0.346674429746557	0.469890537733011	0.580548235366779	0.402830479313435	0.294718900910767	0.356808056256449	0.531531956658524	0.384350450808171	0.455582440504757	0.391410358954116	0.337940231696642	0.383231167547637	0.554276678493233	0.307738166925414	0	0.749319342204462	0.383967680913434	0.446352082977301	0.483952335720267	0.435911494357483	0.466114115422467	0.437910752259778	0.452315565450369	0.497706053389168	0.447828838689635	0.459633309734701	0.458041846951181	0.432073821478687	0.448267637005947	0.457638354263705
Per7	0.790942920806752	0.774571042177928	0.932126023691877	0.984759355909349	0.734494535529373	1.0471975511966	0.728926496561993	0.7974344704609	1.05097811061709	0.799724437667703	0.689643529969125	0.777308121335489	0.31469173643783	0.735294407165448	0.782663896744345	0.77896252990089	0.757286237250128	0.626294338498872	0.370778740664558	0.702859319527538	0.749319342204462	0	0.885988593144348	0.870477152895301	0.840744918043047	0.844518000088073	0.927101882936082	0.91026320991994	0.842025623011499	0.842095863798882	0.774197104760527	0.814484817484867	0.831704563329738	0.797680123122746	0.829808132025544	0.812029947858507
Per8	0.291522727862362	0.247210338766723	0.512435051145737	0.415899678699236	0.307505984765019	1.0471975511966	0.424292808591544	0.389879824854878	0.767654641034533	0.19096859237532	0.274202759346672	0.320064737729638	0.656701196480495	0.344131500264116	0.322504122218591	0.248332565171092	0.290702617084173	0.328926266660912	0.699126373989395	0.376688056436601	0.383967680913434	0.885988593144348	0	0.274373905648475	0.383476505959622	0.251281656521573	0.259228919294839	0.301048330482369	0.349176579545616	0.365575963058122	0.43766786701817	0.399517704042763	0.321301214992928	0.316049018385657	0.334374172109936	0.306301682555249
