	LN1	Lun1	Lun2a	Lun2b	Lun2c	Normal1	Per1	PTa1	PTa2	PTa3	PTa4	PTa5	PTb1	PTb2	PTb3	PTb4	PTb5	PTc1	PTc2	PTc3	PTc4	PTc5	TD1	TD2
PTa4	0.257657794668302	0.866403156390743	0.942962893202306	0.911822962609202	0.949508042627752	1.0471975511966	0.273890490012274	0.296791063579635	0.258400521716832	0.319753255896648	0	0.232801204676165	0.841768438674094	0.895988831213112	0.988603519207235	0.776774954712116	0.903981326958756	0.743309883097258	0.63985072701953	0.704669041805532	0.723989160140465	0.747510772181602	0.344679086763849	0.422488410018042
PTa5	0.20304776116277	0.911783413407542	0.965091428585714	0.95047503356108	0.995930159972886	1.0471975511966	0.377044894590987	0.334685529314383	0.230210323105539	0.279228946683228	0.232801204676165	0	0.904068359690106	0.923121037500292	1.04911175507006	0.788235783190659	0.937021741507263	0.704138992144486	0.666001132288314	0.746110958952839	0.695396748702791	0.694486521808418	0.185640317615982	0.258364830026404
PTb1	0.981493649004128	0.321895146374584	0.475709598150084	0.425338281404125	0.34337317864614	1.0471975511966	0.961270313227927	1.05417942868581	0.732789609491361	1.10145301891153	0.841768438674094	0.904068359690106	0	0.265609089155824	0.405936925658716	0.240766632673826	0.483363805549217	0.655657199000694	0.635052512369343	0.611527703820714	0.631451595228772	0.628201262698409	1.01164002899968	1.08953672185369
PTb2	0.986363889370248	0.386777512482658	0.343958756780222	0.329120296336619	0.33376087756763	1.0471975511966	0.982215453035882	1.08870457421861	0.76686410423911	1.13482740087164	0.895988831213112	0.923121037500292	0.265609089155824	0	0.476364185241518	0.266483421497231	0.341517883152393	0.61120992817155	0.685755409054406	0.662509722820326	0.550663975854691	0.56163815118843	0.991031744056711	1.06453799733967
PTb3	1.11854014472473	0.49106156918922	0.636335089892014	0.582834286560407	0.497489712941284	1.0471975511966	1.11683457330511	1.21051540195157	0.913938663469152	1.21854579761554	0.988603519207235	1.04911175507006	0.405936925658716	0.476364185241518	0	0.481944295360199	0.702734247184947	0.869731308092031	0.799086629648728	0.766440114050315	0.846774293231983	0.835542450332333	1.15778320984811	1.22103891263476
PTb4	0.883038215236841	0.409939755051275	0.435534870443742	0.391452577084113	0.391754234939219	1.0471975511966	0.897148135807871	0.960630716462492	0.637428182307217	1.0033282319225	0.776774954712116	0.788235783190659	0.240766632673826	0.266483421497231	0.481944295360199	0	0.50289386977734	0.555558758472166	0.629150930924938	0.64871345940997	0.54734666330564	0.516053486743406	0.885490554663351	0.966235122531003
PTb5	0.952019264159183	0.462771078214513	0.438894318226243	0.429065258831322	0.476906244136538	1.0471975511966	0.925543178752778	1.07960589202804	0.803872445720504	1.12515826946875	0.903981326958756	0.937021741507263	0.483363805549217	0.341517883152393	0.702734247184947	0.50289386977734	0	0.658421606972457	0.698972307715267	0.635944005959541	0.562954934874925	0.630916619528567	0.966219088719714	1.02048156556422
PTc1	0.805744668112112	0.728168058382785	0.721727658099125	0.722487666798884	0.75528486225399	1.0471975511966	0.789690625867778	0.873934112664962	0.66251828082518	0.936408499341766	0.743309883097258	0.704138992144486	0.655657199000694	0.61120992817155	0.869731308092031	0.555558758472166	0.658421606972457	0	0.401830085028126	0.494529545620217	0.173716177294044	0.124187609124245	0.71715800196704	0.784195616710616
PTc2	0.75997704058564	0.635022356971675	0.840334855226792	0.803273833090014	0.769883888311466	1.0471975511966	0.685584558393989	0.84130240396042	0.630746330727057	0.881692137118699	0.63985072701953	0.666001132288314	0.635052512369343	0.685755409054406	0.799086629648728	0.629150930924938	0.698972307715267	0.401830085028126	0	0.177369895234254	0.407263724064796	0.433666286708768	0.699841626292159	0.762842863363471
PTc3	0.816697239473803	0.561583562623544	0.809317108971417	0.771181214437386	0.718783385547355	1.0471975511966	0.745389454761535	0.92543919080493	0.704513586800676	0.955152520343274	0.704669041805532	0.746110958952839	0.611527703820714	0.662509722820326	0.766440114050315	0.64871345940997	0.635944005959541	0.494529545620217	0.177369895234254	0	0.456797439532267	0.504560523690452	0.778257845555495	0.828275349404412
