	Liv1a	Liv1b	Liv1c	Liv1d	Liv1e	LN1	Normal1	OvH1a	OvH1b	OvH1c	OvH1d	OvH1e	OvH2a	OvH2b	OvH2c	OvH2d	Per1	Per2	PT1	PT2	PT3	PT4	PT5	PT6	PT7	PT8	PT9	TD1
PT1	0.433427916458306	0.375577639981734	0.373148065497336	0.373129103858081	0.33958327311697	0.338091955437816	1.0471975511966	0.379430973491205	0.353069664248706	0.34743943575089	0.385392401683739	0.419176171190635	0.357894516447396	0.421279147944281	0.271707467287457	0.284314712966771	0.398389926792287	0.442698653901302	0	0.181844491513397	0.266774625374839	0.317822320582854	0.261783460862255	0.192961631268534	0.224028537658892	0.224054517376604	0.406037018783542	0.361234469130508
PT2	0.357940976965039	0.310580158711919	0.33502294418506	0.314865625577123	0.288665500998017	0.364793379041495	1.0471975511966	0.329597649049814	0.294584186899388	0.296630812251025	0.338910078142231	0.367535807365509	0.283935981611496	0.345423311351126	0.315399459323707	0.295513701281366	0.366413108470875	0.404144179038775	0.181844491513397	0	0.255598451507339	0.351949740012392	0.244737160811099	0.175017058709619	0.201373471523289	0.23943054646827	0.448876677210457	0.287641508778998
PT3	0.417932202243729	0.334224454415105	0.343748647469873	0.366226791248046	0.31625915009394	0.329393378682498	1.0471975511966	0.403113631862295	0.346012201811721	0.347135026159416	0.403136586089599	0.492384730314884	0.333515826553839	0.400597039702845	0.260312556277616	0.25304701439075	0.454344307499275	0.478279040720529	0.266774625374839	0.255598451507339	0	0.317945949599171	0.227569387263121	0.236089093478637	0.207544192162873	0.260387896336641	0.411131750598172	0.399277637516029
PT4	0.447293205515189	0.374140722764284	0.427895191630572	0.463198444032238	0.425622746994655	0.444424574527093	1.0471975511966	0.452117422865594	0.394359941514101	0.424163216343008	0.485286798163521	0.521440234657398	0.370796539345728	0.426383996932911	0.328305537570613	0.325928799906514	0.481804915558326	0.451479823190318	0.317822320582854	0.351949740012392	0.317945949599171	0	0.208052255550552	0.289205664612641	0.362152665899982	0.283818378497524	0.382532478223521	0.479829340218723
PT5	0.433477999022825	0.325199753395694	0.39346737503498	0.422300037984798	0.379016029037575	0.34434323572878	1.0471975511966	0.428331814919487	0.368538127224438	0.400596144820777	0.449169448522863	0.508058866581481	0.341071673994265	0.405277755908167	0.320937069290704	0.301004467366026	0.444514157543872	0.388637025836441	0.261783460862255	0.244737160811099	0.227569387263121	0.208052255550552	0	0.217289490178685	0.248496840893099	0.232058495163696	0.305430271865959	0.409179738647977
PT6	0.412046055891648	0.356544146819582	0.362560951150251	0.388235752361199	0.354572529642284	0.376538114512479	1.0471975511966	0.372306758639133	0.320739919913929	0.312694311819593	0.381818732030166	0.42086962842902	0.304572043165534	0.373502725351554	0.292150099126831	0.297092610764795	0.395616437863555	0.41156195726772	0.192961631268534	0.175017058709619	0.236089093478637	0.289205664612641	0.217289490178685	0	0.228143561831634	0.17124319199319	0.391332698400297	0.370323171972301
PT7	0.41947179459585	0.357413743344736	0.343958821382328	0.36168048930149	0.323906664288846	0.284301810572039	1.0471975511966	0.409016127244488	0.364325990737397	0.353112322175153	0.414132608578713	0.442947187258393	0.35949749745274	0.424156946916424	0.31142385179016	0.282984006452075	0.463540472999215	0.476400929394354	0.224028537658892	0.201373471523289	0.207544192162873	0.362152665899982	0.248496840893099	0.228143561831634	0	0.25795594343596	0.419259736452919	0.390097015910204
PT8	0.41597925002753	0.318178658384611	0.343537978374749	0.362315279178929	0.350639980868219	0.319953188700993	1.0471975511966	0.362935373085764	0.325481028132422	0.322303479707328	0.395489455753856	0.465110459324825	0.307288479462048	0.34742103968973	0.30702645972209	0.315343598196956	0.385289138683221	0.425876121745679	0.224054517376604	0.23943054646827	0.260387896336641	0.283818378497524	0.232058495163696	0.17124319199319	0.25795594343596	0	0.38320627802541	0.392430137891259
PT9	0.670613061012886	0.569865780496174	0.626873782716138	0.670503711510905	0.623280027620281	0.49215419253587	1.0471975511966	0.65759013122019	0.589984614576271	0.626113051684589	0.664427530931328	0.703318772789553	0.560226545330433	0.625442751023082	0.481827020830688	0.503867496385744	0.634874185548358	0.545512915551015	0.406037018783542	0.448876677210457	0.411131750598172	0.382532478223521	0.305430271865959	0.391332698400297	0.419259736452919	0.38320627802541	0	0.61200906884415
TD1	0.403569180785328	0.327829370229745	0.395650197268403	0.320798850801732	0.347236181276284	0.440898146922005	1.0471975511966	0.302409381613904	0.316297848081173	0.301723352668756	0.324215165702121	0.344723656194208	0.30694827154492	0.302338516598993	0.400667033108495	0.367735324456219	0.290891067883727	0.454124464125583	0.361234469130508	0.287641508778998	0.399277637516029	0.479829340218723	0.409179738647977	0.370323171972301	0.390097015910204	0.392430137891259	0.61200906884415	0
