	LN1	LN2	LN3	Normal1	Per10a	Per10b	Per11	Per12	Per13	Per14	Per15	Per16	Per17	Per18	Per19	Per1a	Per1b	Per2	Per20	Per21	Per22	Per23	Per24	Per3	Per4	Per5	Per6	Per7	Per8	Per9	PerOv1	PT1	PT2	PT3	PT4	PT5	PT6	PT7	PT8	TD1	TD2
Per15	0.295237859176412	0.711624566523094	0.802088236735315	1.0471975511966	0.308081189770503	0.270312011854352	0.186879395635718	0.363794732663885	0.246997473147891	0.259947498979568	0	0.206292516566487	0.341305756805424	0.248146802941817	0.201630157657667	0.316875296713418	0.357898876661799	0.27269517397981	0.186746008245852	0.160670201492511	0.171272854586964	0.365933318149432	0.301662236243806	0.309750089529876	0.365955449173278	0.21434752361014	0.192435115560758	0.296601124507108	0.306211274346412	0.210204446053005	0.595319251681515	0.288127932961856	0.280980802373957	0.246377094491903	0.259323669381629	0.232447722591171	0.241363354437166	0.199707012355448	0.364783454689906	0.519705686553437	0.310564214026212
Per16	0.359836475038449	0.696781266906162	0.738117278339786	1.0471975511966	0.238859825586546	0.184142448252744	0.235604485878557	0.362721136862327	0.195884859813668	0.339807389113719	0.206292516566487	0	0.328926755874343	0.173171785997963	0.215498215716237	0.351720335428262	0.351025074294085	0.259390156013775	0.236317718185141	0.204597972027735	0.203226359047462	0.359465221508551	0.211077613634203	0.349701959310494	0.353072407692328	0.194114606891918	0.266635884659155	0.26863406200373	0.313493207639013	0.215400128325313	0.5440894471799	0.244272557294142	0.251502116371848	0.228455878573777	0.23060261285425	0.262288642644632	0.235799252684473	0.198827718013031	0.35491427677694	0.443063667625823	0.305601751340973
Per17	0.418176636086003	0.717088287687205	0.677967715602775	1.0471975511966	0.395011161678047	0.357818950471457	0.315458913186452	0.44881964018924	0.360537820073632	0.515721943989205	0.341305756805424	0.328926755874343	0	0.326079895125233	0.387054950526131	0.501880686108667	0.41597935393928	0.364313583285637	0.386312733526776	0.344981227848075	0.336133949042854	0.382657305960066	0.392722447970304	0.473107798630062	0.443631548990295	0.339049080247424	0.381145290087434	0.344148328412137	0.270789669284336	0.314286433456238	0.584535398891532	0.314986211810675	0.359520202649304	0.358236633401582	0.345110368049442	0.33476103256964	0.359773348129132	0.310295301424881	0.378035742037063	0.580730878836428	0.447659442233906
Per18	0.371536545783852	0.689569581240254	0.785912147150427	1.0471975511966	0.278369422495078	0.218034694325283	0.259065685436259	0.37232869855676	0.236967895063402	0.420021530234619	0.248146802941817	0.173171785997963	0.326079895125233	0	0.278988983213805	0.356557858254906	0.358777057857657	0.280976844248084	0.247406850530768	0.226595276995272	0.227723060625583	0.331550441914937	0.233789654654529	0.339493883966788	0.377836922471841	0.27200799923595	0.259299425017346	0.302941870065873	0.336559300293304	0.161105092633882	0.581239907787674	0.240536106343231	0.281122614000663	0.251901956219924	0.280416437425219	0.273425265518883	0.27432184815852	0.196924284532433	0.325856499475585	0.508415170507975	0.356234766830418
Per19	0.342197605383839	0.714996108678833	0.798848280181193	1.0471975511966	0.259021728789657	0.261410844045083	0.216015222756498	0.357498643973296	0.253136150818552	0.289745974796489	0.201630157657667	0.215498215716237	0.387054950526131	0.278988983213805	0	0.320459542085632	0.360134063406908	0.29436831626472	0.192621384662584	0.239934898280309	0.198295033419695	0.400031537274806	0.331533798577472	0.379542450155178	0.389314107655156	0.20484052642643	0.232224382521911	0.315898146096518	0.343937760809822	0.284955000766191	0.543034829857009	0.29399267169407	0.295069935341082	0.262728679855246	0.300034669756199	0.307211959061148	0.261734823167979	0.27581815825295	0.405006227584904	0.460009364505443	0.323416501945752
Per1a	0.366933515298234	0.69809979849131	0.868647327508104	1.0471975511966	0.389491264517672	0.379977575139884	0.378776398689567	0.328649717099002	0.347756688131613	0.378847877729387	0.316875296713418	0.351720335428262	0.501880686108667	0.356557858254906	0.320459542085632	0	0.379773500127151	0.276586717481693	0.319574116256729	0.340095533543705	0.316225178396141	0.497714250273817	0.433808573752396	0.33013611331668	0.419822924818373	0.352878522460322	0.323707853050622	0.449672743570233	0.498651532290751	0.359098122779373	0.619996496205101	0.346365329407913	0.346701743090374	0.305837589620408	0.345802319219076	0.347365702588795	0.329165671467457	0.331687476937531	0.452795827851176	0.555934157095271	0.308124500639825
Per1b	0.436891121129054	0.775380186005428	0.696766596665321	1.0471975511966	0.293688513492571	0.313056963590824	0.353176348644468	0.443025835108937	0.336272486319658	0.480100857808925	0.357898876661799	0.351025074294085	0.41597935393928	0.358777057857657	0.360134063406908	0.379773500127151	0	0.274958438210501	0.404094140058815	0.426397409766348	0.393804720256046	0.512601849726865	0.421675552945149	0.298707387622555	0.454968308274781	0.405257668826347	0.439811517632841	0.444769754427888	0.4300088101997	0.343958603492096	0.486192087572707	0.282196493870466	0.244424107952966	0.316719842629445	0.343960279441417	0.319131657711354	0.320358603998287	0.284022022185528	0.318142962844591	0.52275496292751	0.266542177343398
Per2	0.336809342836568	0.660237892298703	0.777072541090745	1.0471975511966	0.272528107183753	0.27409004249535	0.303565640794068	0.384822112901995	0.24397465606115	0.430398160284615	0.27269517397981	0.259390156013775	0.364313583285637	0.280976844248084	0.29436831626472	0.276586717481693	0.274958438210501	0	0.30964639207842	0.299503869879695	0.293627874722694	0.442153890040542	0.351595963062451	0.301461722981864	0.339335873314141	0.296666811168795	0.33356986830573	0.340830742895513	0.375920644863483	0.267208456549765	0.586158800260273	0.24201755128029	0.229972532452185	0.197720484355285	0.218041527209273	0.25253445820371	0.221125927986965	0.247598602907345	0.325742713633118	0.46520824040297	0.268076874527143
Per20	0.322169006093217	0.712454328441518	0.875374266042395	1.0471975511966	0.29610307272487	0.247315702044984	0.196555751866417	0.366487156577658	0.273796288089905	0.305064624015043	0.186746008245852	0.236317718185141	0.386312733526776	0.247406850530768	0.192621384662584	0.319574116256729	0.404094140058815	0.30964639207842	0	0.172265546535933	0.171874913050903	0.375143694065963	0.277181124774996	0.396789247194861	0.416540678715062	0.218003548278644	0.186151044311428	0.267313340290474	0.376433363466438	0.219167181664174	0.590710038575502	0.321121345678057	0.346285279249241	0.260665702227862	0.305673927673532	0.343483846968953	0.290373377859982	0.27561809923861	0.429147361073165	0.51838158256587	0.355402787308479
Per21	0.32011114556614	0.6632419959281	0.859106883734447	1.0471975511966	0.3029775463127	0.23820943669937	0.250909227749958	0.348638066963468	0.268010627379442	0.311053106402787	0.160670201492511	0.204597972027735	0.344981227848075	0.226595276995272	0.239934898280309	0.340095533543705	0.426397409766348	0.299503869879695	0.172265546535933	0	0.16572566796751	0.289898731260697	0.264369713643802	0.404237786041691	0.33913365726187	0.209879881689054	0.156214444176549	0.263715807707221	0.351243082926852	0.217904996640756	0.627067184649351	0.306509601874378	0.333738165506961	0.253965269036243	0.24748753889425	0.280384820604568	0.284416040915049	0.254985768835996	0.431589561914185	0.508886301669945	0.348824730875602
