	Liv1	Liv2a	Liv2b	Liv2c	Liv3a	Liv3b	Liv3c	Liv3d	LN1a	LN1b	Normal1	OvH1a	OvH1b	OvH1c	OvH1d	Per1	Per10	Per2	Per3	Per4	Per5	Per6	Per7	Per8	Per9	PerOv1	PT1	PT10	PT2	PT3	PT4	PT5	PT6	PT7	PT8	PT9
OvH1b	0.257050843909097	0.260481340670582	0.239458173072553	0.251509822967966	0.304513936666342	0.233429376214302	0.221836034925096	0.315912703784448	0.336103265385616	0.337959187428849	1.0471975511966	0.0882577249206744	0	0.412172626695873	0.256589282833014	0.294675707702903	0.253965593786243	0.338039604337223	0.278699342003619	0.416896971527804	0.260294333391676	0.509157589778426	0.239568991937678	0.336971196908922	0.318908463784203	0.260568968434001	0.277056506418602	0.412660855683621	0.319580779091401	0.241000390211511	0.228544460372832	0.279183136697539	0.296890042012277	0.232865080705737	0.292586194142913	0.267383115709794
OvH1c	0.541940213331333	0.545100559236185	0.522109757353826	0.549056243712898	0.636450048729674	0.500604369461036	0.470821830157563	0.621670656304615	0.594953798145687	0.576932711418467	1.0471975511966	0.366778775226194	0.412172626695873	0	0.482760449597213	0.575948405374524	0.58368262019303	0.619510447234601	0.376824188032144	0.384936387969129	0.565035548993287	0.828768058721823	0.492011723957759	0.647761840198634	0.60303086607625	0.590805382976601	0.461342465417602	0.428530256202589	0.44797165687117	0.520547466436126	0.497591971012998	0.52371320541397	0.420289805109205	0.484768849171073	0.468463897283883	0.557558804467451
OvH1d	0.229789447987147	0.279363631601565	0.219139985060066	0.237058947398233	0.296477977353652	0.20890519060737	0.196025194760054	0.252674146462753	0.446946381588508	0.45096199722243	1.0471975511966	0.246561122691814	0.256589282833014	0.482760449597213	0	0.412180032146925	0.299415470971938	0.410828188805907	0.35997456347289	0.382947374999482	0.300951262922833	0.48115302783108	0.288973357827515	0.397936302034982	0.322947894305438	0.339101426761299	0.354796678132884	0.310619577066749	0.201422257383356	0.313748981621474	0.246583738947793	0.24427996984663	0.227785161691998	0.223805545642283	0.220509806572349	0.276923096722966
Per1	0.32870952200059	0.333432586095855	0.360481937225998	0.338606077886091	0.324350633723972	0.338490047714644	0.351036744841118	0.372890122318763	0.181482131368087	0.204975226482836	1.0471975511966	0.308093737397585	0.294675707702903	0.575948405374524	0.412180032146925	0	0.223714531480757	0.284427048556803	0.337240605211425	0.521924560622265	0.281448763608394	0.448742167043715	0.226744343062519	0.317173022024805	0.245096087132003	0.236614013373849	0.355715641713221	0.560064364439006	0.478051191889834	0.312976326223551	0.290208958454462	0.357183015109359	0.402067424786841	0.323443464010796	0.421119470277641	0.34114914586699
Per10	0.270463911356065	0.296606750357977	0.292875259276171	0.271283705081246	0.260378726264644	0.276641208459496	0.278244048659715	0.294147276905085	0.28674682663483	0.319754938988828	1.0471975511966	0.280681832392359	0.253965593786243	0.58368262019303	0.299415470971938	0.223714531480757	0	0.270234597189883	0.357156687017175	0.444385525555655	0.194630957843695	0.392943088446123	0.163032015807181	0.267466559224521	0.177726991678043	0.2287102354743	0.361943005410624	0.479755969537253	0.387882896460195	0.27233966191579	0.21002425567332	0.271411388748468	0.322811227367134	0.251755120734166	0.331901752499415	0.255867475897237
Per2	0.394554683971791	0.369158839763415	0.354659220061406	0.377447437474316	0.371461839154687	0.371389523950653	0.360810621693649	0.401194102108971	0.3703834413475	0.358505100712124	1.0471975511966	0.346018910294188	0.338039604337223	0.619510447234601	0.410828188805907	0.284427048556803	0.270234597189883	0	0.313812665340387	0.524033739498276	0.197654830684474	0.431736115050888	0.266332452552294	0.150650226594178	0.342768295698354	0.175229141272891	0.332824628997344	0.508938750559548	0.461298831668436	0.24722869663642	0.319655315646918	0.257738763326168	0.414992934888243	0.271294265080713	0.398629142723654	0.21570663935703
Per3	0.406148151837523	0.392095302970223	0.360161542858946	0.416382785676082	0.455090302721157	0.365032981470324	0.342466009533556	0.45320767417814	0.402529159937105	0.389523153777897	1.0471975511966	0.244361165288622	0.278699342003619	0.376824188032144	0.35997456347289	0.337240605211425	0.357156687017175	0.313812665340387	0	0.349016057296551	0.305644349511953	0.600041641075734	0.272126961847023	0.365920091847469	0.401290216122671	0.339784365953563	0.286390807125177	0.386317702794073	0.390871719586685	0.322463039735025	0.315872688109942	0.31060509868189	0.35434467416484	0.271882253689136	0.359564132604254	0.309139187308572
Per4	0.49425072805139	0.532936314227234	0.482650099898491	0.514262175272821	0.573440520119131	0.460992562120574	0.429408009251335	0.550384374150755	0.554191792338011	0.566535507171939	1.0471975511966	0.386337253998777	0.416896971527804	0.384936387969129	0.382947374999482	0.521924560622265	0.444385525555655	0.524033739498276	0.349016057296551	0	0.422315689623605	0.705160168925356	0.377651560142997	0.541299267806841	0.490306820078937	0.517927506070985	0.45360251974329	0.276400917704778	0.379373098571045	0.472499311156674	0.393187183297711	0.418389837317033	0.343282105259807	0.399045233436963	0.362709805763796	0.452080620893541
Per5	0.302930704889755	0.307097742585562	0.287551708710677	0.302190093039394	0.311374373486212	0.288891566092377	0.269997052394608	0.326409544380011	0.34984399518951	0.365754842962415	1.0471975511966	0.281383731458003	0.260294333391676	0.565035548993287	0.300951262922833	0.281448763608394	0.194630957843695	0.197654830684474	0.305644349511953	0.422315689623605	0	0.416718517971921	0.212698408379129	0.178423593058172	0.283904086737102	0.178777772502643	0.288091805983633	0.417301625989906	0.357032566082628	0.199956474440388	0.23873755194662	0.197064074312315	0.30443713546142	0.214855292281542	0.273021983211891	0.177503189981675
Per6	0.445643180974421	0.477605302293619	0.481090104054571	0.449172716111639	0.40414854317742	0.462117228146133	0.48046072788167	0.415615425487775	0.506634262756733	0.55963560331877	1.0471975511966	0.532056936898408	0.509157589778426	0.828768058721823	0.48115302783108	0.448742167043715	0.392943088446123	0.431736115050888	0.600041641075734	0.705160168925356	0.416718517971921	0	0.469900213609721	0.402997267543798	0.373658444726211	0.378178478016548	0.604445639319141	0.668174216424468	0.553728552440581	0.500517639290644	0.464062301041109	0.466462202195765	0.513802134161648	0.458210436767546	0.488467867422994	0.435751887156161
Per7	0.291361390578589	0.320918376470176	0.307377193909518	0.303290657780986	0.333803593395697	0.292052626841305	0.281719775320553	0.345653120104081	0.298622428290712	0.317674294194223	1.0471975511966	0.237149589166774	0.239568991937678	0.492011723957759	0.288973357827515	0.226744343062519	0.163032015807181	0.266332452552294	0.272126961847023	0.377651560142997	0.212698408379129	0.469900213609721	0	0.289063104606737	0.208610155835341	0.23806150404946	0.312068530008109	0.397041408934199	0.340404869080082	0.260006224617644	0.205954770149919	0.262449831522504	0.298291770664076	0.215255687429004	0.295028610418315	0.246824134011932
Per8	0.373309087370118	0.359825695853913	0.341569998730643	0.356129859891132	0.352284438821709	0.365457161353364	0.361526759850323	0.388095636129876	0.385722660308945	0.404365431769535	1.0471975511966	0.365888864497879	0.336971196908922	0.647761840198634	0.397936302034982	0.317173022024805	0.267466559224521	0.150650226594178	0.365920091847469	0.541299267806841	0.178423593058172	0.402997267543798	0.289063104606737	0	0.326764589931665	0.167201843379392	0.347487437362457	0.519770309415199	0.459165735673612	0.24317941719727	0.325697952966778	0.274540896561159	0.418879360459104	0.28699284897085	0.375684414103191	0.225354165427377
Per9	0.260468199626529	0.312463749852206	0.31599854229697	0.284246430731246	0.27470265503203	0.288475287236245	0.307564095639069	0.295807633283264	0.279831135041044	0.338086663327446	1.0471975511966	0.328324194032111	0.318908463784203	0.60303086607625	0.322947894305438	0.245096087132003	0.177726991678043	0.342768295698354	0.401290216122671	0.490306820078937	0.283904086737102	0.373658444726211	0.208610155835341	0.326764589931665	0	0.278787123307907	0.43488831147834	0.494988115277986	0.397427358260708	0.345959735693516	0.245852814067623	0.336933446001234	0.348011886373686	0.286090482502371	0.347643768879289	0.323156004759093
