	Lun1a	Lun1b	Normal1	OvH1a	OvH1b	OvH1c	OvH1d	OvH2a	OvH2b	OvH2c	Per1a	Per1b	Per1c	Per1d	Per1e	Per1f	Per1g	Per1h	Per1i	Per1j	Per2	Per3a	Per3b	Per3c	Per3d	PT1	PT2	PT3	PT4
Per1h	0.507468819737936	0.451382544820402	1.0471975511966	0.591940373678853	0.617444190989362	0.565013648553291	0.72378516709361	0.526305006856736	0.6339327421088	0.587994756943055	0.518401397102591	0.52737830345314	0.475082188064175	0.395372081165048	0.470189855316123	0.453031289509765	0.254164445708792	0	0.363482038075112	0.543064365904605	0.901074353358581	0.922778461177057	0.894006297974989	0.74021752376107	0.761924734273818	0.566271423022473	0.953866492698192	0.568187335631931	0.662369490604754
Per1i	0.43921309551052	0.362543651615673	1.0471975511966	0.573837832472938	0.599106339166288	0.531819089890114	0.573249092637603	0.45922636777588	0.617847162845487	0.611197069171916	0.423769550236266	0.404673040191037	0.398822885669868	0.437481032170077	0.468506946407928	0.443713305111917	0.483534307534556	0.363482038075112	0	0.506068476558793	0.738014091884834	0.786378246243822	0.771505968756029	0.584487475016886	0.647303649208409	0.694997003492387	0.949707473296739	0.679259969568316	0.682390718936784
Per1j	0.345809638344716	0.313189194766775	1.0471975511966	0.361114967615462	0.311351559440568	0.262080969219139	0.428226394699452	0.324672597663241	0.329384820127311	0.316028555422474	0.264925510180758	0.283653627024211	0.21657374810575	0.286950802637767	0.255902905640507	0.240071219078196	0.635919794236502	0.543064365904605	0.506068476558793	0	0.492297296069287	1.0027150682054	0.511000870614033	0.37802624172823	0.390584565072937	0.59522845083275	0.666085588829669	0.696436647419705	0.560838812144971
Per2	0.472041103625435	0.558846552727373	1.0471975511966	0.515336717577151	0.494114140832094	0.520856835015247	0.419783930920609	0.521348391494271	0.516781712918837	0.57494099860704	0.517247927172557	0.54036342788009	0.537424823515666	0.648375585908192	0.579126375759073	0.575220244191193	0.946181971415408	0.901074353358581	0.738014091884834	0.492297296069287	0	0.935371250383158	0.376256632874147	0.360966545114047	0.365988690854798	0.90965473086523	0.794760573806548	1.02325160128756	0.883928170243523
Per3a	0.856062886490636	0.917795344917007	1.0471975511966	0.926291515187152	1.01853004084942	1.02222875022969	0.847108206399873	0.848738545933662	1.01153994423554	1.05395762952651	0.925976470246223	0.906800193012322	0.985903875797255	0.959660413796132	0.990745550972847	0.981704287111267	0.978755794290878	0.922778461177057	0.786378246243822	1.0027150682054	0.935371250383158	0	0.916669632425991	0.881649675042458	0.886612734973238	1.05818150346015	1.22094549203097	1.06959345394972	1.17205373383526
Per3b	0.456708361086256	0.550676944531443	1.0471975511966	0.504367893626621	0.465194828204464	0.50500129532743	0.428631735477305	0.491048163015789	0.453085832432296	0.539879053105545	0.487450954255119	0.490530850738472	0.534006526945741	0.570608003031047	0.499912603955717	0.532946717058733	0.944728080955157	0.894006297974989	0.771505968756029	0.511000870614033	0.376256632874147	0.916669632425991	0	0.320723726665048	0.270052539554133	0.747090962654691	0.617653864158075	0.869931612186893	0.763340630015471
Per3c	0.35907802878052	0.379056285581558	1.0471975511966	0.509890665207701	0.453820709010161	0.435772828779768	0.448124947180637	0.411466690692463	0.435878174620213	0.499261287136907	0.305957192150741	0.326429980585855	0.386416873209407	0.461440884616931	0.413882472927193	0.399468325597853	0.822335470031379	0.74021752376107	0.584487475016886	0.37802624172823	0.360966545114047	0.881649675042458	0.320723726665048	0	0.232404391347152	0.751373143885971	0.668407311906842	0.831477975878175	0.680972241548128
Per3d	0.361479788514818	0.441116536919442	1.0471975511966	0.458794995207694	0.388394591444878	0.404380513383181	0.383684242476626	0.411011281144438	0.393043418265559	0.460334593038018	0.338718863343162	0.387437215757799	0.412676144384645	0.479210679176319	0.422778103061049	0.425585344708169	0.838600661053643	0.761924734273818	0.647303649208409	0.390584565072937	0.365988690854798	0.886612734973238	0.270052539554133	0.232404391347152	0	0.669394436510603	0.560998239709467	0.757018737978506	0.618111856797704
PT1	0.585645158559238	0.603857963493273	1.0471975511966	0.517332561427577	0.513417237837044	0.483361492170941	0.672116922125089	0.49084332173176	0.463734185006742	0.443053182112705	0.601159918908485	0.58463011782281	0.531874011889829	0.469290650140024	0.473284133860865	0.503036892385429	0.623404977450383	0.566271423022473	0.694997003492387	0.59522845083275	0.90965473086523	1.05818150346015	0.747090962654691	0.751373143885971	0.669394436510603	0	0.540751258724021	0.218631418034376	0.390463188122555
PT2	0.731005628769932	0.749764046100117	1.0471975511966	0.64372636253922	0.572705661080528	0.583695440452143	0.651840884494699	0.637988522692087	0.545435239239624	0.57794956821133	0.691267173286557	0.702688198951506	0.677590757364502	0.718661091188079	0.663326589065846	0.67996571430192	1.05736588946665	0.953866492698192	0.949707473296739	0.666085588829669	0.794760573806548	1.22094549203097	0.617653864158075	0.668407311906842	0.560998239709467	0.540751258724021	0	0.609457251645241	0.463000733825708
PT3	0.678142049562753	0.665277692088622	1.0471975511966	0.652987702162304	0.645246243655783	0.59839073080814	0.756967845081248	0.601656622688833	0.613602333912678	0.592247641553322	0.665281072215725	0.661524983133536	0.60743865256543	0.562249279684483	0.580894263443326	0.600499186266233	0.647409399613913	0.568187335631931	0.679259969568316	0.696436647419705	1.02325160128756	1.06959345394972	0.869931612186893	0.831477975878175	0.757018737978506	0.218631418034376	0.609457251645241	0	0.35208253511746
PT4	0.659714513177926	0.612111931014312	1.0471975511966	0.643225764880896	0.580040654996879	0.50765400230618	0.688506358793318	0.583901160965046	0.553638423339543	0.539614082078618	0.555670652969891	0.562583141271369	0.495538803936078	0.546788038842482	0.518765101277571	0.535908378136996	0.777354269488827	0.662369490604754	0.682390718936784	0.560838812144971	0.883928170243523	1.17205373383526	0.763340630015471	0.680972241548128	0.618111856797704	0.390463188122555	0.463000733825708	0.35208253511746	0
