	LN1	LN2	LN3	LN4a	LN4b	LN5	LN6	Normal1	Per1	Per10a	Per10b	Per2	Per3	Per4a	Per4b	Per4c	Per5	Per6a	Per6b	Per6c	Per6d	Per7	Per8	Per9	PTa1	PTa2	PTa3	PTa4	PTa5	PTa6	PTb1	PTb2	PTb3	PTb4	PTb5	PTb6	PTb7	TD1	TD2	TD3	TD4	TD5	TD6
Per10b	0.751011536888558	0.443618699209526	0.534431805917034	0.428552176560476	0.474604465008789	0.814667634782904	0.479755567060772	1.0471975511966	0.438444131331597	1.04568250610521	0	0.448696087320606	0.691891721242627	0.44217988793361	0.527075986939455	0.453894449484698	0.469571659278462	0.419386132851544	0.502564119143749	0.556684400540737	0.544194661048627	0.497260261007139	0.546726703604417	0.594171205454045	0.495232004052684	0.390532398623901	0.429252863955235	0.599032162176506	0.605466800465665	0.492033646031374	0.986718242316402	0.544793221499655	0.38924773531255	1.02651051047335	0.473077394932915	0.54571364466115	0.488864496491772	0.598644753464982	0.635141583184269	0.514994174083095	0.46730027529231	0.617097902172771	0.66425499834982
Per2	0.428238632304553	0.168509375081643	0.211304826190772	0.278245888519269	0.249657455465993	0.553227472749354	0.377325619858062	1.0471975511966	0.277577300075582	1.00575702095948	0.448696087320606	0	0.494624916788967	0.354774568595665	0.429315864260748	0.419409169345281	0.358605587957628	0.413701841439864	0.340210666151177	0.235474189172944	0.407257061145073	0.383469152145254	0.261635802585572	0.39935888382044	0.181923306795519	0.436791977485159	0.366941331916378	0.556670496931848	0.339593102345025	0.229199452425135	0.744747217550334	0.282657692933372	0.272839837413249	0.823169863565648	0.505763253417701	0.270844603436138	0.278324607177379	0.524293823485091	0.383073681577868	0.396357949485732	0.382532864365793	0.501574432248052	0.624958885723264
Per3	0.4867525083423	0.504519092573627	0.529062456005689	0.569849515093406	0.526931467648228	0.578988385894925	0.67858983346509	1.0471975511966	0.579129600550547	1.02087133767165	0.691891721242627	0.494624916788967	0	0.597809718529635	0.644520414057373	0.635647394156855	0.59823419915382	0.649933757816067	0.571239952419815	0.439896161594665	0.65946251171837	0.633956305271537	0.536580032016178	0.488327775382873	0.480468790082181	0.6907558350059	0.660119701989491	0.78418112869427	0.493495413076651	0.498434292412693	0.756679635635422	0.574166195453608	0.58691003751541	0.884426041846372	0.686798268330831	0.490951656244313	0.55838082602974	0.689245649841513	0.569506078838419	0.625879019787168	0.618993258572044	0.597847124219972	0.798246723263652
Per4a	0.565677996366228	0.342520308896053	0.40874319696918	0.380603841504796	0.388328138656175	0.697005858696463	0.539669414515278	1.0471975511966	0.417947688756263	1.06940761508103	0.44217988793361	0.354774568595665	0.597809718529635	0	0.163016320099489	0.198224223308215	0.38203558660576	0.176184260638441	0.556352515886009	0.397567761371204	0.473661018639784	0.378232443653209	0.479637262457445	0.507618374502751	0.401853301131771	0.400547388309723	0.412008771523534	0.491549227033505	0.461412724594872	0.359344323801304	0.808339880848503	0.40524425183386	0.338568238467878	0.998313176032373	0.541052902248562	0.371636314818109	0.405666508808661	0.589895409327285	0.52428914892526	0.225698527361151	0.165318246206216	0.497216770965626	0.682993781615689
Per4b	0.636243996742546	0.434648977610677	0.483669847161194	0.422887196701866	0.422396151365647	0.721104614922377	0.577800498325691	1.0471975511966	0.466755081251393	1.12080304725981	0.527075986939455	0.429315864260748	0.644520414057373	0.163016320099489	0	0.159919294356786	0.427256376825102	0.225776680633404	0.600094672380784	0.475910743270924	0.499453658622471	0.430010567774395	0.559235219671313	0.570074099758999	0.476934301851303	0.466111811828175	0.476455441963001	0.512569358922663	0.506852472279779	0.412937302612576	0.867939864354577	0.476837876609132	0.433195466774532	1.05221807490412	0.579550132053894	0.458062972238008	0.50089426833181	0.631433432462405	0.576249607818909	0.231772363166196	0.152617692780364	0.514813884981793	0.692336781152326
Per4c	0.677206664577785	0.419408855723832	0.475631539876307	0.391921410280308	0.408766466466771	0.754007905432642	0.533813929335762	1.0471975511966	0.429470940351667	1.10725116636298	0.453894449484698	0.419409169345281	0.635647394156855	0.198224223308215	0.159919294356786	0	0.386122700724015	0.199826397063988	0.551649276755367	0.486589917983988	0.427779355836225	0.438609082262768	0.570832261518371	0.549398232229802	0.473563855745147	0.425678637135783	0.395589193838898	0.451686457900456	0.494039883891611	0.399186869319364	0.931283265465792	0.504637097932007	0.40041620789635	1.06099155694301	0.507813144665649	0.450628830152492	0.499314308817704	0.581165708553339	0.564626977330307	0.243549094990169	0.154157969950878	0.532381756404451	0.647571269299357
Per5	0.605712502400301	0.346754349982599	0.447238850908564	0.379150050155539	0.394871368072719	0.627501422983147	0.460046902093722	1.0471975511966	0.393336663027018	0.894865497577791	0.469571659278462	0.358605587957628	0.59823419915382	0.38203558660576	0.427256376825102	0.386122700724015	0	0.412476379206233	0.434907329479063	0.448670752767682	0.27944675288991	0.43484087936102	0.430274395357526	0.442848968062435	0.362147135347399	0.31533368990206	0.368017734983782	0.463366508756567	0.366461612279547	0.318762116862148	0.912050465581081	0.475154629765704	0.356608487607775	0.897722770393707	0.398869530422313	0.382970632098602	0.449514709843294	0.461802872520696	0.344125413434268	0.412558152059394	0.389489509774993	0.558536947471368	0.552468547240017
Per6a	0.649349571554279	0.407356322655082	0.474615942715789	0.404045369401734	0.43212454372921	0.77971177338959	0.577973639850188	1.0471975511966	0.449177946695878	1.11197625089158	0.419386132851544	0.413701841439864	0.649933757816067	0.176184260638441	0.225776680633404	0.199826397063988	0.412476379206233	0	0.577184617756179	0.444575309538367	0.471201578951485	0.455424191268385	0.55729072495776	0.5651532995016	0.467155387205126	0.44378115044944	0.429896819916645	0.499635171414011	0.536237248998841	0.436086893403644	0.855222090139969	0.483477655307822	0.372234547612762	1.06245362833913	0.561780082966667	0.44844358466075	0.463851678066013	0.664899250614546	0.597556621614658	0.245262289839087	0.133292843566389	0.527375920121519	0.726928836015826
Per6b	0.612115275122431	0.366063883301957	0.454006567412809	0.415791167132626	0.4022289370973	0.647411250409097	0.45040123907206	1.0471975511966	0.389832098267981	0.997926899755252	0.502564119143749	0.340210666151177	0.571239952419815	0.556352515886009	0.600094672380784	0.551649276755367	0.434907329479063	0.577184617756179	0	0.414417850690891	0.436964743933097	0.450618043834053	0.412810336332719	0.532283475826938	0.345261773850099	0.470344275906729	0.398035884638719	0.580142066522035	0.454438417062711	0.325087335774094	0.925384695268546	0.49353732467392	0.4221139885532	0.919157921501796	0.490422016459118	0.425344633856286	0.418120129099489	0.52517825746785	0.456838607719874	0.608665644389818	0.568777014391313	0.558971176203679	0.497276774308768
Per6c	0.362949086298341	0.24199612521939	0.273851470192288	0.400323001940812	0.368382987271099	0.567804562752846	0.555454997581733	1.0471975511966	0.394769288648148	1.02793415999521	0.556684400540737	0.235474189172944	0.439896161594665	0.397567761371204	0.475910743270924	0.486589917983988	0.448670752767682	0.444575309538367	0.414417850690891	0	0.51057754497978	0.408026774172486	0.320632584339813	0.401279592664535	0.204939190379541	0.524418229536951	0.479866623841708	0.63810444074202	0.38288910478639	0.301068541881044	0.613094510939857	0.283490882446628	0.331881762121652	0.822997078248676	0.583253975557524	0.243935298665838	0.280085489717242	0.637609396373481	0.428982918362029	0.424279879921152	0.424119570144505	0.449225471025078	0.714210788785068
Per6d	0.698969545913998	0.42221845702653	0.492358856213521	0.41087558001701	0.419349205808677	0.737167591868684	0.46245884228642	1.0471975511966	0.418212078655211	1.00823465529312	0.544194661048627	0.407257061145073	0.65946251171837	0.473661018639784	0.499453658622471	0.427779355836225	0.27944675288991	0.471201578951485	0.436964743933097	0.51057754497978	0	0.484659556102801	0.49266583687262	0.535836639275118	0.452107183695701	0.445287857870068	0.396171290712298	0.473384283158375	0.375611051758185	0.374202395900991	0.974208302625243	0.530712065906747	0.418830786141781	0.969681299556895	0.435944083704345	0.447535992198109	0.506661953258248	0.498280979909337	0.443632113948215	0.488367980459692	0.443208305318866	0.634422837493449	0.553910524147923
Per7	0.602804253160557	0.368761326718041	0.431515554539939	0.481443678528157	0.4553496746771	0.732087904164192	0.557896200055946	1.0471975511966	0.456968859962019	1.07866159910722	0.497260261007139	0.383469152145254	0.633956305271537	0.378232443653209	0.430010567774395	0.438609082262768	0.43484087936102	0.455424191268385	0.450618043834053	0.408026774172486	0.484659556102801	0	0.405033434892914	0.554565097471395	0.354940540814043	0.410062630279461	0.473887542258096	0.533518424697896	0.442513974669549	0.349311261697072	0.789511963429034	0.364220028000134	0.368958091619478	1.01218163899606	0.465493839697808	0.408603492143127	0.374009602130393	0.553552076467724	0.509770213154994	0.442373590738481	0.435273512082151	0.483289391544006	0.608603948670549
Per8	0.402271050556097	0.266391292849721	0.341277198859512	0.429153096756138	0.391076358223013	0.526077681065713	0.463601998251143	1.0471975511966	0.41198173172079	0.994562762171261	0.546726703604417	0.261635802585572	0.536580032016178	0.479637262457445	0.559235219671313	0.570832261518371	0.430274395357526	0.55729072495776	0.412810336332719	0.320632584339813	0.49266583687262	0.405033434892914	0	0.457237434910699	0.253957057275869	0.468497262666345	0.499292706594738	0.657255201268306	0.366660271955914	0.308610121805616	0.687268673670839	0.380303473488305	0.411133127105763	0.745558757283346	0.546519840546798	0.353324668695133	0.287881191390997	0.563793052038926	0.391968702892396	0.532468513967454	0.535220169454082	0.551635913088196	0.625242119382415
Per9	0.540027626425404	0.367924460466146	0.414876013965973	0.455245609403723	0.454919070767573	0.534908587958975	0.551011723604711	1.0471975511966	0.431866115171763	0.806423248231131	0.594171205454045	0.39935888382044	0.488327775382873	0.507618374502751	0.570074099758999	0.549398232229802	0.442848968062435	0.5651532995016	0.532283475826938	0.401279592664535	0.535836639275118	0.554565097471395	0.457237434910699	0	0.364533005970983	0.481183205501133	0.491228073888607	0.677931554649726	0.35053804202375	0.358008832590169	0.839564485967534	0.493057652284532	0.445023778786835	0.788662451456854	0.635663684601846	0.395686269603844	0.456246957562582	0.667177785603864	0.333535376340364	0.526170842250404	0.5420986386171	0.629632164826653	0.637656337832865
PTa1	0.40019384661637	0.167228414398068	0.226220012372022	0.363729272099902	0.350462517759338	0.537544937387665	0.456302415503574	1.0471975511966	0.339113377862096	0.939337256062884	0.495232004052684	0.181923306795519	0.480468790082181	0.401853301131771	0.476934301851303	0.473563855745147	0.362147135347399	0.467155387205126	0.345261773850099	0.204939190379541	0.452107183695701	0.354940540814043	0.253957057275869	0.364533005970983	0	0.443781839733755	0.408497737332231	0.607850098800544	0.327122761766609	0.232570996599185	0.69676186488625	0.298391070753795	0.294007999343463	0.828499194404453	0.501750443839792	0.255344765180082	0.2615332891284	0.574433261967154	0.323843647424702	0.436324984284323	0.438835757850566	0.433966647284065	0.632622335504782
